Name,Desc,Number,X,Y,Theta,X,Y,Theta,X,Y,Theta,X,Y,Theta,X,Y,Theta
Move10,Move ten feet,2,0,0,0,120,0,0,,,,,,,,,
Move8,Move eight feet,2,0,0,0,96,0,0,,,,,,,,,
Red11,Feed Switch from Front Start 1 aud,4,16,280.25,0,80,290.25,0,110,290.25,-30,128,234,-120,,,
Red12,Feed Scale from front aud,4,16,280.25,0,80,289,-10,200,284,-15,270,284,0,,,
Red13,Feed scale from side aud,4,16,280.25,0,80,289,0,180,284,-15,200,224,-90,,,
Red14,Feed cross scale from side,4,16,280.25,0,80,289,0,135,289,-30,170,104,-90,,,
Red31,Feed Switch from Side start 3 aud,3,16,160.25,0,112,234,0,118,234,0,,,,,,
Red32,Feed Switch from Side start 3 cont,3,16,160.25,0,112,95,0,118,95,0,,,,,,
Red51,Feed Switch from Front Start 5 cont,4,16,43.75,0,80,33.75,0,110,33.75,30,128,90,120,,,
Red52,Feed Scale from front cont,4,16,43.75,0,80,35,10,200,40,15,270,40,0,,,
Red53,Feed scale from side cont,4,16,43.75,0,80,35,0,180,40,15,200,100,90,,,
Red54,Feed cross scale from side,4,16,43.75,0,80,35,0,135,35,30,170,220,90,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
