dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.000000,2.200000,0.000050,0.005000,0.250000,12.500000,0.000000
0.020000,5.000000,2.200000,0.000050,0.000000,-0.250000,-25.000000,0.000000
0.020000,5.000000,2.200000,0.000050,0.000000,0.000000,12.500000,0.000000
0.020000,5.000500,2.200000,0.000550,0.025000,1.250000,62.500000,0.000000
0.020000,5.001750,2.200000,0.001800,0.062500,1.875000,31.250000,0.000000
0.020000,5.003550,2.200000,0.003600,0.090000,1.375000,-25.000000,0.000000
0.020000,5.006000,2.200000,0.006050,0.122500,1.625000,12.500000,0.000000
0.020000,5.009200,2.200000,0.009250,0.160000,1.875000,12.500000,0.000000
0.020000,5.013250,2.200000,0.013300,0.202500,2.125000,12.500000,0.000000
0.020000,5.018250,2.200000,0.018300,0.250000,2.375000,12.500000,0.000000
0.020000,5.024200,2.200000,0.024250,0.297500,2.375000,0.000000,0.000000
0.020000,5.031000,2.200000,0.031050,0.340000,2.125000,-12.500000,0.000000
0.020000,5.038550,2.200000,0.038600,0.377500,1.875000,-12.500000,0.000000
0.020000,5.046750,2.200000,0.046800,0.410000,1.625000,-12.500000,0.000000
0.020000,5.055500,2.200000,0.055550,0.437500,1.375000,-12.500000,0.000000
0.020000,5.064700,2.200000,0.064750,0.460000,1.125000,-12.500000,0.000000
0.020000,5.074250,2.200000,0.074300,0.477500,0.875000,-12.500000,0.000000
0.020000,5.084050,2.200000,0.084100,0.490000,0.625000,-12.500000,0.000000
0.020000,5.094000,2.200000,0.094050,0.497500,0.375000,-12.500000,0.000000
0.020000,5.104000,2.200000,0.104050,0.500000,0.125000,-12.500000,0.000000
0.020000,5.114000,2.200000,0.114050,0.500000,0.000000,-6.250000,0.000000
0.020000,5.124000,2.200000,0.124050,0.500000,0.000000,0.000000,0.000000
0.020000,5.134000,2.200000,0.134050,0.500000,0.000000,0.000000,0.000000
0.020000,5.144000,2.200000,0.144050,0.500000,-0.000000,-0.000000,0.000000
0.020000,5.154000,2.200000,0.154050,0.500000,0.000000,0.000000,0.000000
0.020000,5.164000,2.200000,0.164050,0.500000,0.000000,0.000000,0.000000
0.020000,5.174000,2.200000,0.174050,0.500000,0.000000,0.000000,0.000000
0.020000,5.184000,2.200000,0.184050,0.500000,0.000000,0.000000,0.000000
0.020000,5.194000,2.200000,0.194050,0.500000,-0.000000,-0.000000,0.000000
0.020000,5.204000,2.200000,0.204050,0.500000,0.000000,0.000000,0.000000
0.020000,5.214000,2.200000,0.214050,0.500000,0.000000,0.000000,0.000000
0.020000,5.224000,2.200000,0.224050,0.500000,0.000000,0.000000,0.000000
0.020000,5.234000,2.200000,0.234050,0.500000,-0.000000,-0.000000,0.000000
0.020000,5.244000,2.200000,0.244050,0.500000,0.000000,0.000000,0.000000
0.020000,5.254000,2.200000,0.254050,0.500000,0.000000,0.000000,0.000000
0.020000,5.264000,2.200000,0.264050,0.500000,0.000000,0.000000,0.000000
0.020000,5.274000,2.200000,0.274050,0.500000,-0.000000,-0.000000,0.000000
0.020000,5.284000,2.200000,0.284050,0.500000,0.000000,0.000000,0.000000
0.020000,5.294000,2.200000,0.294050,0.500000,0.000000,0.000000,0.000000
0.020000,5.304000,2.200000,0.304050,0.500000,0.000000,0.000000,0.000000
0.020000,5.314000,2.200000,0.314050,0.500000,-0.000000,-0.000000,0.000000
0.020000,5.324000,2.200000,0.324050,0.500000,0.000000,0.000000,0.000000
0.020000,5.334000,2.200000,0.334050,0.500000,0.000000,0.000000,0.000000
0.020000,5.344000,2.200000,0.344050,0.500000,0.000000,0.000000,0.000000
0.020000,5.354000,2.200000,0.354050,0.500000,-0.000000,-0.000000,0.000000
0.020000,5.364000,2.200000,0.364050,0.500000,0.000000,0.000000,0.000000
0.020000,5.374000,2.200000,0.374050,0.500000,0.000000,0.000000,0.000000
0.020000,5.384000,2.200000,0.384050,0.500000,0.000000,0.000000,0.000000
0.020000,5.394000,2.200000,0.394050,0.500000,-0.000000,-0.000000,0.000000
0.020000,5.404000,2.200000,0.404050,0.500000,0.000000,0.000000,0.000000
0.020000,5.414000,2.200000,0.414050,0.500000,0.000000,0.000000,0.000000
0.020000,5.424000,2.200000,0.424050,0.500000,0.000000,0.000000,0.000000
0.020000,5.434000,2.200000,0.434050,0.500000,0.000000,0.000000,0.000000
0.020000,5.444000,2.200000,0.444050,0.500000,-0.000000,-0.000000,0.000000
0.020000,5.454000,2.200000,0.454050,0.500000,0.000000,0.000000,0.000000
0.020000,5.464000,2.200000,0.464050,0.500000,0.000000,0.000000,0.000000
0.020000,5.474000,2.200000,0.474050,0.500000,-0.000000,-0.000000,0.000000
0.020000,5.484000,2.200000,0.484050,0.500000,0.000000,0.000000,0.000000
0.020000,5.494000,2.200000,0.494050,0.500000,0.000000,0.000000,0.000000
0.020000,5.504000,2.200000,0.504050,0.500000,0.000000,0.000000,0.000000
0.020000,5.514000,2.200000,0.514050,0.500000,0.000000,0.000000,0.000000
0.020000,5.524000,2.200000,0.524050,0.500000,-0.000000,-0.000000,0.000000
