dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.000000,2.000000,0.000050,0.005000,0.250000,12.500000,0.000000
0.020000,5.000000,2.000000,0.000250,0.015000,0.500000,12.500000,0.000000
0.020000,5.000000,2.000000,0.000700,0.030000,0.750000,12.500000,0.000000
0.020000,5.000500,2.000000,0.001500,0.050000,1.000000,12.500000,0.000000
0.020000,5.001750,2.000000,0.002750,0.075000,1.250000,12.500000,0.000000
0.020000,5.003550,2.000000,0.004550,0.105000,1.500000,12.500000,0.000000
0.020000,5.006000,2.000000,0.007000,0.140000,1.750000,12.500000,0.000000
0.020000,5.009200,2.000000,0.010200,0.180000,2.000000,12.500000,0.000000
0.020000,5.013250,2.000000,0.014250,0.225000,2.250000,12.500000,0.000000
0.020000,5.018250,2.000000,0.019250,0.275000,2.500000,12.500000,0.000000
0.020000,5.024200,2.000000,0.025200,0.320000,2.250000,-12.500000,0.000000
0.020000,5.031000,2.000000,0.032000,0.360000,2.000000,-12.500000,0.000000
0.020000,5.038550,2.000000,0.039550,0.395000,1.750000,-12.500000,0.000000
0.020000,5.046750,2.000000,0.047750,0.425000,1.500000,-12.500000,0.000000
0.020000,5.055500,2.000000,0.056500,0.450000,1.250000,-12.500000,0.000000
0.020000,5.064700,2.000000,0.065700,0.470000,1.000000,-12.500000,0.000000
0.020000,5.074250,2.000000,0.075250,0.485000,0.750000,-12.500000,0.000000
0.020000,5.084050,2.000000,0.085050,0.495000,0.500000,-12.500000,0.000000
0.020000,5.094000,2.000000,0.095000,0.500000,0.250000,-12.500000,0.000000
0.020000,5.104000,2.000000,0.105000,0.500000,0.000000,-12.500000,0.000000
0.020000,5.114000,2.000000,0.115000,0.500000,0.000000,0.000000,0.000000
0.020000,5.124000,2.000000,0.125000,0.500000,0.000000,0.000000,0.000000
0.020000,5.134000,2.000000,0.135000,0.500000,0.000000,0.000000,0.000000
0.020000,5.144000,2.000000,0.145000,0.500000,0.000000,0.000000,0.000000
0.020000,5.154000,2.000000,0.155000,0.500000,0.000000,0.000000,0.000000
0.020000,5.164000,2.000000,0.165000,0.500000,0.000000,0.000000,0.000000
0.020000,5.174000,2.000000,0.175000,0.500000,0.000000,0.000000,0.000000
0.020000,5.184000,2.000000,0.185000,0.500000,0.000000,0.000000,0.000000
0.020000,5.194000,2.000000,0.195000,0.500000,0.000000,0.000000,0.000000
0.020000,5.204000,2.000000,0.205000,0.500000,0.000000,0.000000,0.000000
0.020000,5.214000,2.000000,0.215000,0.500000,0.000000,0.000000,0.000000
0.020000,5.224000,2.000000,0.225000,0.500000,0.000000,0.000000,0.000000
0.020000,5.234000,2.000000,0.235000,0.500000,0.000000,0.000000,0.000000
0.020000,5.244000,2.000000,0.245000,0.500000,0.000000,0.000000,0.000000
0.020000,5.254000,2.000000,0.255000,0.500000,0.000000,0.000000,0.000000
0.020000,5.264000,2.000000,0.265000,0.500000,0.000000,0.000000,0.000000
