dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000198,0.200000,0.000050,0.005000,0.250000,12.500000,6.282194
0.020000,0.000192,0.200000,0.000057,0.000327,-0.233628,-24.181389,6.282227
0.020000,0.000177,0.200000,0.000071,0.000737,0.020469,12.704849,6.282301
0.020000,0.000151,0.200000,0.000097,0.001310,0.028668,0.409934,6.282432
0.020000,0.000110,0.200000,0.000138,0.002048,0.036883,0.410777,6.282637
0.020000,0.000051,0.200000,0.000197,0.002950,0.045127,0.412159,6.282932
0.020000,0.000875,0.200000,0.001021,0.041200,1.912476,93.367446,0.000148
0.020000,0.003970,0.200001,0.004117,0.154758,5.677902,188.271325,0.000674
0.020000,0.007887,0.200005,0.008033,0.195837,2.053941,-181.198031,0.001340
0.020000,0.012721,0.200014,0.012868,0.241742,2.295238,12.064852,0.002165
0.020000,0.018475,0.200029,0.018621,0.287659,2.295891,0.032621,0.003149
0.020000,0.025049,0.200053,0.025196,0.328731,2.053592,-12.114943,0.004277
0.020000,0.032348,0.200089,0.032495,0.364941,1.810471,-12.156075,0.005533
0.020000,0.040273,0.200139,0.040420,0.396278,1.566877,-12.179668,0.006904
0.020000,0.048730,0.200203,0.048877,0.422829,1.327542,-11.966770,0.008372
0.020000,0.057619,0.200284,0.057767,0.444482,1.082661,-12.244028,0.009923
0.020000,0.066845,0.200383,0.066993,0.461341,0.842945,-11.985826,0.011540
0.020000,0.076310,0.200501,0.076459,0.473293,0.597612,-12.266636,0.013208
0.020000,0.085920,0.200636,0.086069,0.480510,0.360856,-11.837785,0.014909
0.020000,0.095575,0.200788,0.095726,0.482816,0.115280,-12.278832,0.016628
0.020000,0.105227,0.200957,0.105380,0.482698,-0.005899,-6.058917,0.018355
0.020000,0.114879,0.201142,0.115033,0.482668,-0.001525,0.218695,0.020091
0.020000,0.124528,0.201345,0.124684,0.482557,-0.005536,-0.200556,0.021836
0.020000,0.134174,0.201564,0.134333,0.482439,-0.005896,-0.018023,0.023589
0.020000,0.143819,0.201800,0.143981,0.482399,-0.002005,0.194547,0.025351
0.020000,0.153462,0.202053,0.153627,0.482295,-0.005204,-0.159942,0.027123
0.020000,0.163101,0.202323,0.163270,0.482177,-0.005899,-0.034744,0.028903
0.020000,0.172740,0.202610,0.172913,0.482120,-0.002848,0.152562,0.030692
0.020000,0.182375,0.202915,0.182553,0.482029,-0.004521,-0.083635,0.032490
0.020000,0.192008,0.203236,0.192192,0.481911,-0.005907,-0.069326,0.034297
0.020000,0.201639,0.203576,0.201828,0.481830,-0.004049,0.092925,0.036114
0.020000,0.211267,0.203932,0.211463,0.481761,-0.003489,0.028007,0.037940
0.020000,0.220893,0.204307,0.221096,0.481642,-0.005920,-0.121592,0.039775
0.020000,0.230516,0.204698,0.230727,0.481530,-0.005604,0.015836,0.041619
0.020000,0.240137,0.205108,0.240357,0.481488,-0.002112,0.174587,0.043473
