dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000198,-0.200000,0.000050,0.005000,0.250000,12.500000,6.282194
0.020000,-0.000192,-0.200000,0.000057,0.000327,-0.233628,-24.181389,6.282227
0.020000,-0.000177,-0.200000,0.000071,0.000737,0.020469,12.704849,6.282301
0.020000,-0.000151,-0.200000,0.000097,0.001310,0.028668,0.409934,6.282432
0.020000,-0.000110,-0.200000,0.000138,0.002048,0.036883,0.410777,6.282637
0.020000,-0.000051,-0.200000,0.000197,0.002950,0.045127,0.412159,6.282932
0.020000,0.000934,-0.200000,0.001182,0.049239,2.314410,113.464183,0.000148
0.020000,0.004239,-0.199999,0.004488,0.165271,5.801596,174.359288,0.000674
0.020000,0.008423,-0.199994,0.008671,0.209164,2.194693,-180.345153,0.001340
0.020000,0.013587,-0.199985,0.013836,0.258231,2.453339,12.932310,0.002165
0.020000,0.019734,-0.199969,0.019982,0.307336,2.455241,0.095105,0.003149
0.020000,0.026760,-0.199943,0.027008,0.351291,2.197729,-12.875627,0.004277
0.020000,0.034561,-0.199905,0.034810,0.390077,1.939317,-12.920593,0.005533
0.020000,0.043035,-0.199852,0.043283,0.423683,1.680313,-12.950198,0.006904
0.020000,0.052078,-0.199783,0.052327,0.452197,1.425715,-12.729879,0.008372
0.020000,0.061588,-0.199696,0.061837,0.475497,1.164990,-13.036291,0.009923
0.020000,0.071461,-0.199590,0.071711,0.493688,0.909543,-12.772338,0.011540
0.020000,0.081593,-0.199465,0.081844,0.506644,0.647804,-13.086947,0.013208
0.020000,0.091883,-0.199320,0.092135,0.514543,0.394933,-12.643539,0.014909
0.020000,0.102226,-0.199157,0.102478,0.517189,0.132283,-13.132484,0.016628
0.020000,0.112569,-0.198976,0.112823,0.517241,0.002601,-6.484111,0.018355
0.020000,0.122915,-0.198777,0.123171,0.517387,0.007347,0.237311,0.020091
0.020000,0.133261,-0.198560,0.133520,0.517450,0.003108,-0.211986,0.021836
0.020000,0.143609,-0.198325,0.143870,0.517505,0.002779,-0.016433,0.023589
0.020000,0.153959,-0.198072,0.154223,0.517645,0.007013,0.211701,0.025351
0.020000,0.164309,-0.197800,0.164577,0.517718,0.003642,-0.168574,0.027123
0.020000,0.174661,-0.197510,0.174933,0.517777,0.002955,-0.034333,0.028903
0.020000,0.185014,-0.197201,0.185291,0.517903,0.006292,0.166877,0.030692
0.020000,0.195369,-0.196874,0.195651,0.517994,0.004558,-0.086730,0.032490
0.020000,0.205725,-0.196528,0.206012,0.518057,0.003129,-0.071455,0.034297
0.020000,0.216081,-0.196164,0.216375,0.518161,0.005188,0.102971,0.036114
0.020000,0.226440,-0.195780,0.226741,0.518278,0.005854,0.033288,0.037940
0.020000,0.236799,-0.195377,0.237108,0.518344,0.003300,-0.127675,0.039775
0.020000,0.247159,-0.194955,0.247476,0.518418,0.003703,0.020132,0.041619
