dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.872693,22.920763,0.000500,0.050000,2.500000,125.000000,6.283159
0.020000,9.872690,22.920763,0.000503,0.000149,-2.492534,-249.626685,6.283162
0.020000,9.872684,22.920763,0.000510,0.000336,0.009326,125.092964,6.283169
0.020000,9.872672,22.920763,0.000522,0.000597,0.013035,0.185490,6.283181
0.020000,9.882004,22.920763,0.009854,0.466605,23.300410,1164.368738,0.000014
0.020000,9.899977,22.920763,0.027827,0.898662,21.602880,-84.876484,0.000041
0.020000,9.924441,22.920765,0.052291,1.223185,16.226108,-268.838633,0.000077
0.020000,9.956393,22.920768,0.084243,1.597638,18.722664,124.827791,0.000124
0.020000,9.996834,22.920774,0.124684,2.022025,21.219359,124.834786,0.000184
0.020000,10.046761,22.920785,0.174611,2.496350,23.716237,124.843907,0.000257
0.020000,10.106175,22.920803,0.234025,2.970689,23.716948,0.035535,0.000343
0.020000,10.174077,22.920830,0.301927,3.395116,21.221369,-124.778944,0.000441
0.020000,10.249470,22.920867,0.377320,3.769631,18.725771,-124.779938,0.000548
0.020000,10.331354,22.920916,0.459204,4.094234,16.230114,-124.782815,0.000663
0.020000,10.418733,22.920980,0.546583,4.368921,13.734364,-124.787522,0.000785
0.020000,10.510606,22.921058,0.638457,4.593691,11.238491,-124.793663,0.000911
0.020000,10.605977,22.921151,0.733827,4.768540,8.742468,-124.801104,0.001040
0.020000,10.703846,22.921259,0.831697,4.893466,6.246278,-124.809526,0.001171
0.020000,10.803216,22.921382,0.931066,4.968464,3.749905,-124.818664,0.001302
0.020000,10.903086,22.921518,1.030937,4.993531,1.253337,-124.828364,0.001431
0.020000,11.002959,22.921668,1.130809,4.993630,0.004992,-62.417250,0.001558
0.020000,11.102833,22.921830,1.230684,4.993730,0.004992,-0.000011,0.001684
0.020000,11.202710,22.922004,1.330560,4.993830,0.004992,0.000012,0.001807
0.020000,11.302588,22.922191,1.430439,4.993930,0.004992,-0.000009,0.001929
0.020000,11.402468,22.922389,1.530320,4.994030,0.004992,0.000010,0.002048
0.020000,11.502351,22.922600,1.630202,4.994130,0.004992,-0.000007,0.002165
0.020000,11.602235,22.922822,1.730087,4.994230,0.004992,0.000007,0.002281
0.020000,11.702121,22.923055,1.829973,4.994329,0.004992,-0.000005,0.002394
0.020000,11.802010,22.923300,1.929862,4.994429,0.004992,0.000004,0.002506
0.020000,11.901900,22.923556,2.029753,4.994529,0.004992,-0.000001,0.002615
0.020000,12.001792,22.923822,2.129645,4.994629,0.004992,0.000000,0.002723
0.020000,12.101686,22.924100,2.229540,4.994729,0.004992,0.000003,0.002828
0.020000,12.201583,22.924387,2.329436,4.994829,0.004992,-0.000004,0.002931
0.020000,12.301481,22.924685,2.429335,4.994928,0.004993,0.000007,0.003033
0.020000,12.401381,22.924993,2.529235,4.995028,0.004992,-0.000008,0.003132
0.020000,12.501283,22.925311,2.629138,4.995128,0.004993,0.000011,0.003230
0.020000,12.601187,22.925638,2.729043,4.995228,0.004992,-0.000012,0.003325
0.020000,12.701093,22.925975,2.828949,4.995328,0.004993,0.000013,0.003419
0.020000,12.801001,22.926321,2.928858,4.995428,0.004992,-0.000014,0.003510
0.020000,12.900911,22.926677,3.028768,4.995528,0.004993,0.000015,0.003599
0.020000,13.000823,22.927041,3.128681,4.995627,0.004992,-0.000015,0.003687
0.020000,13.100736,22.927413,3.228595,4.995727,0.004993,0.000015,0.003772
0.020000,13.200652,22.927794,3.328512,4.995827,0.004992,-0.000015,0.003856
0.020000,13.300570,22.928184,3.428430,4.995927,0.004993,0.000015,0.003937
0.020000,13.400490,22.928581,3.528351,4.996027,0.004992,-0.000015,0.004017
0.020000,13.500412,22.928986,3.628273,4.996127,0.004993,0.000014,0.004094
0.020000,13.600335,22.929399,3.728198,4.996227,0.004992,-0.000014,0.004170
0.020000,13.700261,22.929820,3.828124,4.996326,0.004993,0.000013,0.004243
0.020000,13.800188,22.930247,3.928053,4.996426,0.004992,-0.000013,0.004315
0.020000,13.900118,22.930682,4.027984,4.996526,0.004993,0.000011,0.004384
0.020000,14.000050,22.931123,4.127916,4.996626,0.004992,-0.000011,0.004452
0.020000,14.099983,22.931572,4.227851,4.996726,0.004993,0.000010,0.004517
0.020000,14.199919,22.932026,4.327787,4.996826,0.004992,-0.000009,0.004581
0.020000,14.299856,22.932487,4.427726,4.996925,0.004993,0.000008,0.004642
0.020000,14.399795,22.932954,4.527666,4.997025,0.004992,-0.000007,0.004702
0.020000,14.499737,22.933427,4.627609,4.997125,0.004992,0.000006,0.004759
0.020000,14.599680,22.933905,4.727553,4.997225,0.004992,-0.000005,0.004815
0.020000,14.699625,22.934389,4.827500,4.997325,0.004992,0.000003,0.004868
0.020000,14.799573,22.934878,4.927448,4.997425,0.004992,-0.000003,0.004920
0.020000,14.899522,22.935372,5.027399,4.997525,0.004992,0.000001,0.004969
0.020000,14.999473,22.935871,5.127351,4.997624,0.004992,-0.000001,0.005017
0.020000,15.099427,22.936375,5.227306,4.997724,0.004992,-0.000001,0.005062
0.020000,15.199382,22.936883,5.327262,4.997824,0.004992,0.000001,0.005106
0.020000,15.299339,22.937396,5.427221,4.997924,0.004992,-0.000002,0.005147
0.020000,15.399298,22.937912,5.527181,4.998024,0.004992,0.000003,0.005187
0.020000,15.499259,22.938433,5.627143,4.998124,0.004992,-0.000004,0.005224
0.020000,15.599222,22.938957,5.727108,4.998224,0.004992,0.000004,0.005260
0.020000,15.699187,22.939484,5.827074,4.998323,0.004992,-0.000005,0.005293
0.020000,15.799154,22.940015,5.927043,4.998423,0.004992,0.000005,0.005325
0.020000,15.899123,22.940549,6.027013,4.998523,0.004992,-0.000006,0.005354
0.020000,15.999094,22.941085,6.126986,4.998623,0.004992,0.000006,0.005382
0.020000,16.099067,22.941625,6.226960,4.998723,0.004992,-0.000007,0.005407
0.020000,16.199042,22.942167,6.326937,4.998823,0.004992,0.000006,0.005431
0.020000,16.299019,22.942711,6.426915,4.998922,0.004992,-0.000007,0.005453
0.020000,16.398998,22.943257,6.526896,4.999022,0.004992,0.000006,0.005472
0.020000,16.498979,22.943805,6.626878,4.999122,0.004992,-0.000007,0.005490
0.020000,16.598962,22.944354,6.726862,4.999222,0.004992,0.000006,0.005505
0.020000,16.698947,22.944906,6.826849,4.999322,0.004992,-0.000006,0.005519
0.020000,16.798934,22.945458,6.926837,4.999422,0.004992,0.000005,0.005530
0.020000,16.898923,22.946011,7.026828,4.999522,0.004992,-0.000005,0.005540
0.020000,16.998914,22.946566,7.126820,4.999621,0.004992,0.000004,0.005547
0.020000,17.098907,22.947121,7.226815,4.999721,0.004992,-0.000004,0.005553
0.020000,17.198902,22.947676,7.326811,4.999821,0.004992,0.000003,0.005557
0.020000,17.298898,22.948232,7.426809,4.999921,0.004992,-0.000002,0.005558
0.020000,17.398897,22.948788,7.526810,5.000021,0.004992,0.000001,0.005558
0.020000,17.498898,22.949343,7.626812,5.000121,0.004992,0.000000,0.005555
0.020000,17.598901,22.949899,7.726817,5.000220,0.004992,-0.000001,0.005551
0.020000,17.698906,22.950454,7.826823,5.000320,0.004992,0.000003,0.005545
0.020000,17.798913,22.951008,7.926831,5.000420,0.004992,-0.000004,0.005536
0.020000,17.898922,22.951561,8.026842,5.000520,0.004992,0.000005,0.005526
0.020000,17.998933,22.952113,8.126854,5.000620,0.004992,-0.000005,0.005513
0.020000,18.098945,22.952664,8.226869,5.000720,0.004992,0.000006,0.005499
0.020000,18.198960,22.953213,8.326885,5.000820,0.004992,-0.000007,0.005483
0.020000,18.298977,22.953760,8.426903,5.000919,0.004992,0.000007,0.005464
0.020000,18.398996,22.954306,8.526924,5.001019,0.004992,-0.000007,0.005444
0.020000,18.499017,22.954849,8.626946,5.001119,0.004992,0.000008,0.005421
0.020000,18.599040,22.955390,8.726971,5.001219,0.004992,-0.000008,0.005397
0.020000,18.699065,22.955929,8.826997,5.001319,0.004992,0.000008,0.005371
0.020000,18.799092,22.956465,8.927025,5.001419,0.004992,-0.000008,0.005342
0.020000,18.899121,22.956998,9.027056,5.001518,0.004992,0.000008,0.005312
0.020000,18.999152,22.957527,9.127088,5.001618,0.004992,-0.000008,0.005280
0.020000,19.099185,22.958054,9.227122,5.001718,0.004992,0.000008,0.005245
0.020000,19.199220,22.958577,9.327159,5.001818,0.004992,-0.000007,0.005209
0.020000,19.299257,22.959096,9.427197,5.001918,0.004992,0.000007,0.005170
0.020000,19.399296,22.959611,9.527238,5.002018,0.004992,-0.000006,0.005130
0.020000,19.499337,22.960122,9.627280,5.002118,0.004992,0.000006,0.005088
0.020000,19.599380,22.960629,9.727324,5.002217,0.004992,-0.000004,0.005043
0.020000,19.699425,22.961131,9.827371,5.002317,0.004992,0.000004,0.004997
0.020000,19.799472,22.961629,9.927419,5.002417,0.004992,-0.000003,0.004949
0.020000,19.899521,22.962121,10.027469,5.002517,0.004992,0.000002,0.004898
0.020000,19.999572,22.962609,10.127522,5.002617,0.004992,-0.000001,0.004846
0.020000,20.099625,22.963091,10.227576,5.002717,0.004992,0.000001,0.004792
0.020000,20.199681,22.963568,10.327632,5.002816,0.004992,0.000001,0.004735
0.020000,20.299738,22.964039,10.427691,5.002916,0.004992,-0.000001,0.004677
0.020000,20.399797,22.964504,10.527751,5.003016,0.004992,0.000003,0.004617
0.020000,20.499858,22.964962,10.627813,5.003116,0.004992,-0.000003,0.004554
0.020000,20.599922,22.965415,10.727878,5.003216,0.004992,0.000005,0.004490
0.020000,20.699987,22.965861,10.827944,5.003316,0.004992,-0.000006,0.004424
0.020000,20.800054,22.966300,10.928012,5.003416,0.004993,0.000007,0.004355
0.020000,20.900124,22.966733,11.028082,5.003515,0.004992,-0.000008,0.004285
0.020000,21.000195,22.967158,11.128155,5.003615,0.004993,0.000009,0.004213
0.020000,21.100268,22.967576,11.228229,5.003715,0.004992,-0.000009,0.004139
0.020000,21.200344,22.967986,11.328305,5.003815,0.004993,0.000010,0.004062
0.020000,21.300421,22.968389,11.428384,5.003915,0.004992,-0.000011,0.003984
0.020000,21.400501,22.968784,11.528464,5.004015,0.004993,0.000012,0.003904
0.020000,21.500582,22.969170,11.628546,5.004115,0.004992,-0.000012,0.003821
0.020000,21.600666,22.969548,11.728631,5.004214,0.004993,0.000013,0.003737
0.020000,21.700752,22.969918,11.828717,5.004314,0.004992,-0.000013,0.003651
0.020000,21.800839,22.970279,11.928805,5.004414,0.004993,0.000013,0.003563
0.020000,21.900929,22.970631,12.028895,5.004514,0.004992,-0.000013,0.003472
0.020000,22.001021,22.970974,12.128988,5.004614,0.004993,0.000013,0.003380
0.020000,22.101114,22.971308,12.229082,5.004714,0.004992,-0.000013,0.003286
0.020000,22.201210,22.971632,12.329178,5.004813,0.004993,0.000012,0.003189
0.020000,22.301308,22.971946,12.429276,5.004913,0.004992,-0.000012,0.003091
0.020000,22.401408,22.972251,12.529377,5.005013,0.004993,0.000010,0.002991
0.020000,22.501509,22.972545,12.629479,5.005113,0.004992,-0.000009,0.002889
0.020000,22.601613,22.972829,12.729583,5.005213,0.004993,0.000007,0.002784
0.020000,22.701719,22.973102,12.829689,5.005313,0.004992,-0.000006,0.002678
0.020000,22.801827,22.973365,12.929798,5.005413,0.004992,0.000003,0.002570
0.020000,22.901937,22.973617,13.029908,5.005512,0.004992,-0.000002,0.002460
0.020000,23.002049,22.973857,13.130020,5.005612,0.004992,-0.000001,0.002347
0.020000,23.102163,22.974087,13.230134,5.005712,0.004992,0.000002,0.002233
0.020000,23.202279,22.974305,13.330251,5.005812,0.004992,-0.000006,0.002117
0.020000,23.302397,22.974511,13.430369,5.005912,0.004992,0.000006,0.001999
0.020000,23.402517,22.974705,13.530489,5.006012,0.004992,-0.000009,0.001878
0.020000,23.502639,22.974887,13.630611,5.006111,0.004992,0.000009,0.001756
