dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.872667,21.920763,0.000500,0.050000,2.500000,125.000000,6.283159
0.020000,9.872667,21.920763,0.002500,0.150000,5.000000,125.000000,6.283162
0.020000,9.872667,21.920763,0.007000,0.300000,7.500000,125.000000,6.283169
0.020000,9.872667,21.920763,0.015000,0.500000,10.000000,125.000000,6.283181
0.020000,9.882018,21.920763,0.027500,0.750000,12.500000,125.000000,0.000014
0.020000,9.900018,21.920763,0.045500,1.050000,15.000000,125.000000,0.000041
0.020000,9.924518,21.920765,0.070000,1.400000,17.500000,125.000000,0.000077
0.020000,9.956518,21.920768,0.102000,1.800000,20.000000,125.000000,0.000124
0.020000,9.997018,21.920774,0.142500,2.250000,22.500000,125.000000,0.000184
0.020000,10.047018,21.920785,0.192500,2.750000,25.000000,125.000000,0.000257
0.020000,10.106518,21.920803,0.252000,3.200000,22.500000,-125.000000,0.000343
0.020000,10.174518,21.920830,0.320000,3.600000,20.000000,-125.000000,0.000441
0.020000,10.250018,21.920867,0.395500,3.950000,17.500000,-125.000000,0.000548
0.020000,10.332018,21.920917,0.477500,4.250000,15.000000,-125.000000,0.000663
0.020000,10.419518,21.920980,0.565000,4.500000,12.500000,-125.000000,0.000785
0.020000,10.511518,21.921058,0.657000,4.700000,10.000000,-125.000000,0.000911
0.020000,10.607017,21.921151,0.752500,4.850000,7.500000,-125.000000,0.001040
0.020000,10.705017,21.921260,0.850500,4.950000,5.000000,-125.000000,0.001171
0.020000,10.804517,21.921383,0.950000,5.000000,2.500000,-125.000000,0.001302
0.020000,10.904517,21.921519,1.050000,5.000000,0.000000,-125.000000,0.001431
0.020000,11.004517,21.921669,1.150000,5.000000,0.000000,0.000000,0.001558
0.020000,11.104517,21.921831,1.250000,5.000000,0.000000,0.000000,0.001684
0.020000,11.204517,21.922006,1.350000,5.000000,0.000000,0.000000,0.001807
0.020000,11.304517,21.922192,1.450000,5.000000,0.000000,0.000000,0.001929
0.020000,11.404516,21.922391,1.550000,5.000000,0.000000,0.000000,0.002048
0.020000,11.504516,21.922602,1.650000,5.000000,0.000000,0.000000,0.002165
0.020000,11.604516,21.922824,1.750000,5.000000,0.000000,0.000000,0.002281
0.020000,11.704516,21.923058,1.850000,5.000000,0.000000,0.000000,0.002394
0.020000,11.804515,21.923303,1.950000,5.000000,0.000000,0.000000,0.002506
0.020000,11.904515,21.923559,2.050000,5.000000,0.000000,0.000000,0.002615
0.020000,12.004515,21.923826,2.150000,5.000000,0.000000,0.000000,0.002723
0.020000,12.104514,21.924104,2.250000,5.000000,0.000000,0.000000,0.002828
0.020000,12.204514,21.924392,2.350000,5.000000,0.000000,0.000000,0.002931
0.020000,12.304514,21.924690,2.450000,5.000000,0.000000,0.000000,0.003033
0.020000,12.404513,21.924998,2.550000,5.000000,0.000000,0.000000,0.003132
0.020000,12.504513,21.925316,2.650000,5.000000,0.000000,0.000000,0.003230
0.020000,12.604512,21.925644,2.750000,5.000000,0.000000,0.000000,0.003325
0.020000,12.704511,21.925981,2.850000,5.000000,0.000000,0.000000,0.003419
0.020000,12.804511,21.926328,2.950000,5.000000,0.000000,0.000000,0.003510
0.020000,12.904510,21.926683,3.050000,5.000000,0.000000,0.000000,0.003599
0.020000,13.004510,21.927047,3.150000,5.000000,0.000000,0.000000,0.003687
0.020000,13.104509,21.927420,3.250000,5.000000,0.000000,0.000000,0.003772
0.020000,13.204508,21.927802,3.350000,5.000000,0.000000,0.000000,0.003856
0.020000,13.304507,21.928191,3.450000,5.000000,0.000000,0.000000,0.003937
0.020000,13.404507,21.928589,3.550000,5.000000,0.000000,0.000000,0.004017
0.020000,13.504506,21.928995,3.650000,5.000000,0.000000,0.000000,0.004094
0.020000,13.604505,21.929408,3.750000,5.000000,0.000000,0.000000,0.004170
0.020000,13.704504,21.929829,3.850000,5.000000,0.000000,0.000000,0.004243
0.020000,13.804503,21.930257,3.950000,5.000000,0.000000,0.000000,0.004315
0.020000,13.904502,21.930691,4.050000,5.000000,0.000000,0.000000,0.004384
0.020000,14.004501,21.931133,4.150000,5.000000,0.000000,0.000000,0.004452
0.020000,14.104500,21.931582,4.250000,5.000000,0.000000,0.000000,0.004517
0.020000,14.204499,21.932037,4.350000,5.000000,0.000000,0.000000,0.004581
0.020000,14.304498,21.932498,4.450000,5.000000,0.000000,0.000000,0.004642
0.020000,14.404497,21.932965,4.550000,5.000000,0.000000,0.000000,0.004702
0.020000,14.504496,21.933438,4.650000,5.000000,0.000000,0.000000,0.004759
0.020000,14.604495,21.933917,4.750000,5.000000,0.000000,0.000000,0.004815
0.020000,14.704494,21.934401,4.850000,5.000000,0.000000,0.000000,0.004868
0.020000,14.804492,21.934890,4.950000,5.000000,0.000000,0.000000,0.004920
0.020000,14.904491,21.935385,5.050000,5.000000,0.000000,0.000000,0.004969
0.020000,15.004490,21.935884,5.150000,5.000000,0.000000,0.000000,0.005017
0.020000,15.104489,21.936388,5.250000,5.000000,0.000000,0.000000,0.005062
0.020000,15.204487,21.936896,5.350000,5.000000,0.000000,0.000000,0.005106
0.020000,15.304486,21.937409,5.450000,5.000000,0.000000,0.000000,0.005147
0.020000,15.404485,21.937926,5.550000,5.000000,0.000000,0.000000,0.005187
0.020000,15.504483,21.938446,5.650000,5.000000,0.000000,0.000000,0.005224
0.020000,15.604482,21.938970,5.750000,5.000000,0.000000,0.000000,0.005260
0.020000,15.704481,21.939498,5.850000,5.000000,0.000000,0.000000,0.005293
0.020000,15.804479,21.940029,5.950000,5.000000,0.000000,0.000000,0.005325
0.020000,15.904478,21.940563,6.050000,5.000000,0.000000,0.000000,0.005354
0.020000,16.004476,21.941100,6.150000,5.000000,0.000000,0.000000,0.005382
0.020000,16.104475,21.941639,6.250000,5.000000,0.000000,0.000000,0.005407
0.020000,16.204473,21.942181,6.350000,5.000000,0.000000,0.000000,0.005431
0.020000,16.304472,21.942725,6.450000,5.000000,0.000000,0.000000,0.005453
0.020000,16.404470,21.943272,6.550000,5.000000,0.000000,0.000000,0.005472
0.020000,16.504469,21.943820,6.650000,5.000000,0.000000,0.000000,0.005490
0.020000,16.604467,21.944370,6.750000,5.000000,0.000000,0.000000,0.005505
0.020000,16.704466,21.944921,6.850000,5.000000,0.000000,0.000000,0.005519
0.020000,16.804464,21.945473,6.950000,5.000000,0.000000,0.000000,0.005530
0.020000,16.904463,21.946027,7.050000,5.000000,0.000000,0.000000,0.005540
0.020000,17.004461,21.946581,7.150000,5.000000,0.000000,0.000000,0.005547
0.020000,17.104460,21.947136,7.250000,5.000000,0.000000,0.000000,0.005553
0.020000,17.204458,21.947692,7.350000,5.000000,0.000000,0.000000,0.005557
0.020000,17.304457,21.948247,7.450000,5.000000,0.000000,0.000000,0.005558
0.020000,17.404455,21.948803,7.550000,5.000000,0.000000,0.000000,0.005558
0.020000,17.504454,21.949359,7.650000,5.000000,0.000000,0.000000,0.005555
0.020000,17.604452,21.949914,7.750000,5.000000,0.000000,0.000000,0.005551
0.020000,17.704450,21.950469,7.850000,5.000000,0.000000,0.000000,0.005545
0.020000,17.804449,21.951023,7.950000,5.000000,0.000000,0.000000,0.005536
0.020000,17.904447,21.951576,8.050000,5.000000,0.000000,0.000000,0.005526
0.020000,18.004446,21.952128,8.150000,5.000000,0.000000,0.000000,0.005513
0.020000,18.104444,21.952679,8.250000,5.000000,0.000000,0.000000,0.005499
0.020000,18.204443,21.953228,8.350000,5.000000,0.000000,0.000000,0.005483
0.020000,18.304441,21.953775,8.450000,5.000000,0.000000,0.000000,0.005464
0.020000,18.404440,21.954321,8.550000,5.000000,0.000000,0.000000,0.005444
0.020000,18.504438,21.954864,8.650000,5.000000,0.000000,0.000000,0.005421
0.020000,18.604437,21.955405,8.750000,5.000000,0.000000,0.000000,0.005397
0.020000,18.704435,21.955943,8.850000,5.000000,0.000000,0.000000,0.005371
0.020000,18.804434,21.956479,8.950000,5.000000,0.000000,0.000000,0.005342
0.020000,18.904433,21.957012,9.050000,5.000000,0.000000,0.000000,0.005312
0.020000,19.004431,21.957541,9.150000,5.000000,0.000000,0.000000,0.005280
0.020000,19.104430,21.958067,9.250000,5.000000,0.000000,0.000000,0.005245
0.020000,19.204428,21.958590,9.350000,5.000000,0.000000,0.000000,0.005209
0.020000,19.304427,21.959109,9.450000,5.000000,0.000000,0.000000,0.005170
0.020000,19.404426,21.959624,9.550000,5.000000,0.000000,0.000000,0.005130
0.020000,19.504424,21.960135,9.650000,5.000000,0.000000,0.000000,0.005088
0.020000,19.604423,21.960642,9.750000,5.000000,0.000000,0.000000,0.005043
0.020000,19.704422,21.961144,9.850000,5.000000,0.000000,0.000000,0.004997
0.020000,19.804421,21.961641,9.950000,5.000000,0.000000,0.000000,0.004949
0.020000,19.904419,21.962133,10.050000,5.000000,0.000000,0.000000,0.004898
0.020000,20.004418,21.962621,10.150000,5.000000,0.000000,0.000000,0.004846
0.020000,20.104417,21.963103,10.250000,5.000000,0.000000,0.000000,0.004792
0.020000,20.204416,21.963579,10.350000,5.000000,0.000000,0.000000,0.004735
0.020000,20.304415,21.964050,10.450000,5.000000,0.000000,0.000000,0.004677
0.020000,20.404414,21.964514,10.550000,5.000000,0.000000,0.000000,0.004617
0.020000,20.504413,21.964973,10.650000,5.000000,0.000000,0.000000,0.004554
0.020000,20.604412,21.965425,10.750000,5.000000,0.000000,0.000000,0.004490
0.020000,20.704411,21.965871,10.850000,5.000000,0.000000,0.000000,0.004424
0.020000,20.804410,21.966310,10.950000,5.000000,0.000000,0.000000,0.004355
0.020000,20.904409,21.966742,11.050000,5.000000,0.000000,0.000000,0.004285
0.020000,21.004408,21.967167,11.150000,5.000000,0.000000,0.000000,0.004213
0.020000,21.104407,21.967584,11.250000,5.000000,0.000000,0.000000,0.004139
0.020000,21.204406,21.967994,11.350000,5.000000,0.000000,0.000000,0.004062
0.020000,21.304405,21.968397,11.450000,5.000000,0.000000,0.000000,0.003984
0.020000,21.404405,21.968791,11.550000,5.000000,0.000000,0.000000,0.003904
0.020000,21.504404,21.969177,11.650000,5.000000,0.000000,0.000000,0.003821
0.020000,21.604403,21.969555,11.750000,5.000000,0.000000,0.000000,0.003737
0.020000,21.704402,21.969925,11.850000,5.000000,0.000000,0.000000,0.003651
0.020000,21.804402,21.970285,11.950000,5.000000,0.000000,0.000000,0.003563
0.020000,21.904401,21.970637,12.050000,5.000000,0.000000,0.000000,0.003472
0.020000,22.004401,21.970980,12.150000,5.000000,0.000000,0.000000,0.003380
0.020000,22.104400,21.971313,12.250000,5.000000,0.000000,0.000000,0.003286
0.020000,22.204400,21.971637,12.350000,5.000000,0.000000,0.000000,0.003189
0.020000,22.304399,21.971951,12.450000,5.000000,0.000000,0.000000,0.003091
0.020000,22.404399,21.972255,12.550000,5.000000,0.000000,0.000000,0.002991
0.020000,22.504398,21.972549,12.650000,5.000000,0.000000,0.000000,0.002889
0.020000,22.604398,21.972833,12.750000,5.000000,0.000000,0.000000,0.002784
0.020000,22.704397,21.973106,12.850000,5.000000,0.000000,0.000000,0.002678
0.020000,22.804397,21.973368,12.950000,5.000000,0.000000,0.000000,0.002570
0.020000,22.904397,21.973620,13.050000,5.000000,0.000000,0.000000,0.002460
0.020000,23.004396,21.973860,13.150000,5.000000,0.000000,0.000000,0.002347
0.020000,23.104396,21.974089,13.250000,5.000000,0.000000,0.000000,0.002233
0.020000,23.204396,21.974307,13.350000,5.000000,0.000000,0.000000,0.002117
0.020000,23.304396,21.974513,13.450000,5.000000,0.000000,0.000000,0.001999
0.020000,23.404396,21.974706,13.550000,5.000000,0.000000,0.000000,0.001878
0.020000,23.504395,21.974888,13.650000,5.000000,0.000000,0.000000,0.001756
0.020000,23.604395,21.975058,13.750000,5.000000,0.000000,0.000000,0.001632
0.020000,23.704395,21.975215,13.850000,5.000000,0.000000,0.000000,0.001506
0.020000,23.804395,21.975359,13.950000,5.000000,0.000000,0.000000,0.001378
0.020000,23.904395,21.975490,14.050000,5.000000,0.000000,0.000000,0.001247
0.020000,24.004395,21.975608,14.150000,5.000000,0.000000,0.000000,0.001115
0.020000,24.104395,21.975713,14.250000,5.000000,0.000000,0.000000,0.000981
0.020000,24.204395,21.975804,14.350000,5.000000,0.000000,0.000000,0.000845
0.020000,24.304395,21.975882,14.450000,5.000000,0.000000,0.000000,0.000707
0.020000,24.404395,21.975945,14.550000,5.000000,0.000000,0.000000,0.000566
0.020000,24.504395,21.975995,14.650000,5.000000,0.000000,0.000000,0.000424
0.020000,24.604395,21.976030,14.750000,5.000000,0.000000,0.000000,0.000280
0.020000,24.704395,21.976051,14.850000,5.000000,0.000000,0.000000,0.000134
0.020000,24.804395,21.976057,14.950000,5.000000,0.000000,0.000000,6.283171
0.020000,24.904395,21.976048,15.050000,5.000000,0.000000,0.000000,6.283021
0.020000,25.004395,21.976024,15.150000,5.000000,0.000000,0.000000,6.282868
0.020000,25.104395,21.975985,15.250000,5.000000,0.000000,0.000000,6.282714
0.020000,25.204395,21.975930,15.350000,5.000000,0.000000,0.000000,6.282558
0.020000,25.304395,21.975859,15.450000,5.000000,0.000000,0.000000,6.282400
