dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.872641,20.920763,0.000500,0.050000,2.500000,125.000000,6.283159
0.020000,9.872644,20.920763,0.000503,0.000149,-2.492534,-249.626685,6.283162
0.020000,9.872650,20.920763,0.000510,0.000336,0.009326,125.092964,6.283169
0.020000,9.872662,20.920763,0.000522,0.000597,0.013035,0.185490,6.283181
0.020000,9.882032,20.920763,0.009891,0.468466,23.393492,1169.022848,0.000014
0.020000,9.900058,20.920763,0.027918,0.901338,21.643563,-87.496489,0.000041
0.020000,9.924595,20.920765,0.052454,1.226815,16.273892,-268.483538,0.000077
0.020000,9.956642,20.920768,0.084501,1.602362,18.777337,125.172265,0.000124
0.020000,9.997201,20.920774,0.125061,2.027975,21.280640,125.165145,0.000184
0.020000,10.047274,20.920785,0.175134,2.503650,23.783763,125.156157,0.000257
0.020000,10.106861,20.920803,0.234720,2.979311,23.783051,-0.035601,0.000343
0.020000,10.174958,20.920830,0.302818,3.404884,21.278631,-125.220987,0.000441
0.020000,10.250566,20.920867,0.378425,3.780369,18.774229,-125.220122,0.000548
0.020000,10.332681,20.920917,0.460540,4.105766,16.269886,-125.217147,0.000663
0.020000,10.420302,20.920980,0.548162,4.381079,13.765636,-125.212507,0.000785
0.020000,10.512429,20.921059,0.640288,4.606309,11.261510,-125.206306,0.000911
0.020000,10.608058,20.921152,0.735917,4.781460,8.757532,-125.198908,0.001040
0.020000,10.706188,20.921260,0.834048,4.906534,6.253722,-125.190494,0.001171
0.020000,10.805819,20.921384,0.933679,4.981536,3.750096,-125.181299,0.001302
0.020000,10.905948,20.921520,1.033808,5.006469,1.246662,-125.171667,0.001431
0.020000,11.006076,20.921670,1.133936,5.006370,-0.004992,-62.582724,0.001558
0.020000,11.106201,20.921832,1.234061,5.006270,-0.004992,-0.000013,0.001684
0.020000,11.206324,20.922007,1.334184,5.006170,-0.004992,0.000010,0.001807
0.020000,11.306445,20.922194,1.434306,5.006070,-0.004992,-0.000011,0.001929
0.020000,11.406565,20.922393,1.534425,5.005970,-0.004992,0.000008,0.002048
0.020000,11.506682,20.922604,1.634543,5.005870,-0.004992,-0.000009,0.002165
0.020000,11.606797,20.922827,1.734658,5.005770,-0.004992,0.000006,0.002281
0.020000,11.706910,20.923061,1.834771,5.005671,-0.004992,-0.000006,0.002394
0.020000,11.807021,20.923306,1.934883,5.005571,-0.004992,0.000003,0.002506
0.020000,11.907130,20.923563,2.034992,5.005471,-0.004992,-0.000002,0.002615
0.020000,12.007237,20.923830,2.135100,5.005371,-0.004992,-0.000001,0.002723
0.020000,12.107342,20.924108,2.235205,5.005271,-0.004992,0.000002,0.002828
0.020000,12.207445,20.924396,2.335308,5.005171,-0.004992,-0.000005,0.002931
0.020000,12.307546,20.924694,2.435410,5.005072,-0.004992,0.000006,0.003033
0.020000,12.407645,20.925003,2.535509,5.004972,-0.004993,-0.000009,0.003132
0.020000,12.507742,20.925321,2.635607,5.004872,-0.004992,0.000010,0.003230
0.020000,12.607837,20.925649,2.735702,5.004772,-0.004993,-0.000012,0.003325
0.020000,12.707930,20.925987,2.835796,5.004672,-0.004992,0.000013,0.003419
0.020000,12.808021,20.926334,2.935887,5.004572,-0.004993,-0.000014,0.003510
0.020000,12.908110,20.926690,3.035977,5.004472,-0.004992,0.000014,0.003599
0.020000,13.008196,20.927054,3.136064,5.004373,-0.004993,-0.000015,0.003687
0.020000,13.108281,20.927427,3.236149,5.004273,-0.004992,0.000015,0.003772
0.020000,13.208364,20.927809,3.336233,5.004173,-0.004993,-0.000015,0.003856
0.020000,13.308445,20.928199,3.436314,5.004073,-0.004992,0.000015,0.003937
0.020000,13.408523,20.928597,3.536394,5.003973,-0.004993,-0.000015,0.004017
0.020000,13.508600,20.929003,3.636471,5.003873,-0.004992,0.000014,0.004094
0.020000,13.608675,20.929417,3.736547,5.003773,-0.004993,-0.000014,0.004170
0.020000,13.708747,20.929838,3.836620,5.003674,-0.004992,0.000013,0.004243
0.020000,13.808818,20.930266,3.936692,5.003574,-0.004993,-0.000012,0.004315
0.020000,13.908886,20.930701,4.036761,5.003474,-0.004992,0.000012,0.004384
0.020000,14.008953,20.931143,4.136829,5.003374,-0.004993,-0.000011,0.004452
0.020000,14.109017,20.931592,4.236894,5.003274,-0.004992,0.000010,0.004517
0.020000,14.209080,20.932047,4.336958,5.003174,-0.004993,-0.000009,0.004581
0.020000,14.309140,20.932509,4.437019,5.003075,-0.004992,0.000008,0.004642
0.020000,14.409198,20.932976,4.537079,5.002975,-0.004992,-0.000007,0.004702
0.020000,14.509255,20.933449,4.637136,5.002875,-0.004992,0.000006,0.004759
0.020000,14.609309,20.933928,4.737192,5.002775,-0.004992,-0.000005,0.004815
0.020000,14.709362,20.934413,4.837245,5.002675,-0.004992,0.000004,0.004868
0.020000,14.809412,20.934902,4.937297,5.002575,-0.004992,-0.000002,0.004920
0.020000,14.909460,20.935397,5.037346,5.002475,-0.004992,0.000002,0.004969
0.020000,15.009506,20.935897,5.137394,5.002376,-0.004992,-0.000000,0.005017
0.020000,15.109551,20.936401,5.237439,5.002276,-0.004992,-0.000000,0.005062
0.020000,15.209593,20.936909,5.337483,5.002176,-0.004992,0.000001,0.005106
0.020000,15.309633,20.937422,5.437524,5.002076,-0.004992,-0.000002,0.005147
0.020000,15.409671,20.937939,5.537564,5.001976,-0.004992,0.000003,0.005187
0.020000,15.509707,20.938460,5.637601,5.001876,-0.004992,-0.000003,0.005224
0.020000,15.609742,20.938984,5.737637,5.001776,-0.004992,0.000004,0.005260
0.020000,15.709774,20.939512,5.837670,5.001677,-0.004992,-0.000005,0.005293
0.020000,15.809804,20.940043,5.937702,5.001577,-0.004992,0.000006,0.005325
0.020000,15.909832,20.940577,6.037731,5.001477,-0.004992,-0.000006,0.005354
0.020000,16.009858,20.941114,6.137759,5.001377,-0.004992,0.000006,0.005382
0.020000,16.109882,20.941654,6.237784,5.001277,-0.004992,-0.000006,0.005407
0.020000,16.209904,20.942196,6.337808,5.001177,-0.004992,0.000007,0.005431
0.020000,16.309924,20.942740,6.437830,5.001078,-0.004992,-0.000007,0.005453
0.020000,16.409942,20.943287,6.537849,5.000978,-0.004992,0.000007,0.005472
0.020000,16.509958,20.943835,6.637867,5.000878,-0.004992,-0.000006,0.005490
0.020000,16.609972,20.944385,6.737882,5.000778,-0.004992,0.000006,0.005505
0.020000,16.709985,20.944936,6.837896,5.000678,-0.004992,-0.000006,0.005519
0.020000,16.809995,20.945489,6.937907,5.000578,-0.004992,0.000006,0.005530
0.020000,16.910003,20.946042,7.037917,5.000478,-0.004992,-0.000005,0.005540
0.020000,17.010009,20.946597,7.137924,5.000379,-0.004992,0.000004,0.005547
0.020000,17.110013,20.947152,7.237930,5.000279,-0.004992,-0.000004,0.005553
0.020000,17.210015,20.947707,7.337934,5.000179,-0.004992,0.000003,0.005557
0.020000,17.310015,20.948263,7.437935,5.000079,-0.004992,-0.000002,0.005558
