dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.502796,16.730942,0.000400,0.040000,2.000000,100.000000,6.261723
0.020000,1.502754,16.730942,0.000442,0.002112,-1.894416,-194.720805,6.261661
0.020000,1.502659,16.730945,0.000537,0.004745,0.131685,101.305075,6.261523
0.020000,1.506967,16.730850,0.004846,0.215450,10.535214,520.176427,6.261278
0.020000,1.516702,16.730635,0.014584,0.486902,13.572607,151.869660,6.260897
0.020000,1.530724,16.730319,0.028609,0.701249,10.717356,-142.762575,6.260352
0.020000,1.549812,16.729876,0.047703,0.954688,12.671942,97.729319,6.259616
0.020000,1.574751,16.729276,0.072649,1.247304,14.630828,97.944289,6.258664
0.020000,1.606326,16.728483,0.104233,1.579212,16.595369,98.227049,6.257478
0.020000,1.645323,16.727452,0.143244,1.950557,18.567250,98.594063,6.256039
0.020000,1.692145,16.726141,0.190084,2.342000,19.572148,50.244903,6.254352
0.020000,1.746804,16.724512,0.244768,2.734168,19.608396,1.812383,6.252437
0.020000,1.809316,16.722523,0.307311,3.127182,19.650731,2.116764,6.250319
0.020000,1.879698,16.720127,0.377735,3.521163,19.699027,2.414776,6.248025
0.020000,1.957971,16.717278,0.456059,3.916230,19.753366,2.716987,6.245588
0.020000,2.044156,16.713925,0.542309,4.312501,19.813566,3.009995,6.243043
0.020000,2.138277,16.710020,0.636511,4.710098,19.879819,3.312651,6.240428
0.020000,2.240360,16.705516,0.738694,5.109136,19.951909,3.604475,6.237784
0.020000,2.350435,16.700368,0.848889,5.509733,20.029867,3.897922,6.235159
0.020000,2.468531,16.694537,0.967129,5.912007,20.113664,4.189848,6.232599
0.020000,2.594288,16.688014,1.093055,6.296318,19.215594,-44.903504,6.230164
0.020000,2.726951,16.680820,1.225912,6.642862,17.327179,-94.420750,6.227920
0.020000,2.865759,16.672998,1.364942,6.951460,15.429882,-94.864848,6.225927
0.020000,3.009954,16.664606,1.509380,7.221902,13.522132,-95.387492,6.224237
0.020000,3.158767,16.655718,1.658459,7.453954,11.602593,-95.976943,6.222897
0.020000,3.311432,16.646425,1.811406,7.647358,9.670212,-96.619060,6.221947
0.020000,3.467173,16.636829,1.967443,7.801839,7.724025,-97.309363,6.221419
0.020000,3.625213,16.627042,2.125785,7.917106,5.763352,-98.033637,6.221335
0.020000,3.784766,16.617185,2.285642,7.992858,3.787622,-98.786525,6.221709
0.020000,3.945042,16.607381,2.446218,8.028788,1.796486,-99.556760,6.222546
0.020000,4.105646,16.597728,2.607112,8.044714,0.796301,-50.009293,6.223847
