dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.517286,18.105783,0.000400,0.040000,2.000000,100.000000,0.000384
0.020000,1.517336,18.105783,0.000449,0.002454,-1.877315,-193.865765,0.000312
0.020000,1.517446,18.105783,0.000559,0.005515,0.153085,101.520034,0.000152
0.020000,1.520631,18.105783,0.003744,0.159239,7.686184,376.654941,6.283052
0.020000,1.530936,18.105779,0.014049,0.515244,17.800248,505.703196,6.282609
0.020000,1.545773,18.105766,0.028886,0.741850,11.330306,-323.497097,6.281973
0.020000,1.565963,18.105733,0.049077,1.009546,13.384805,102.724962,6.281114
0.020000,1.592328,18.105664,0.075442,1.318256,15.435500,102.534752,6.280001
0.020000,1.625686,18.105534,0.108800,1.667872,17.480804,102.265177,6.278608
0.020000,1.666850,18.105311,0.149965,2.058263,19.519526,101.936109,6.276913
0.020000,1.716223,18.104952,0.199339,2.468690,20.521338,50.090577,6.274915
0.020000,1.773789,18.104410,0.256908,2.878450,20.488004,-1.666680,6.272633
0.020000,1.839533,18.103632,0.322656,3.287430,20.449029,-1.948779,6.270089
0.020000,1.913436,18.102561,0.396567,3.695521,20.404521,-2.225364,6.267311
0.020000,1.995476,18.101135,0.478619,4.102611,20.354505,-2.500818,6.264325
0.020000,2.085629,18.099291,0.568791,4.508591,20.299009,-2.774777,6.261166
0.020000,2.183868,18.096964,0.667058,4.913352,20.238067,-3.047103,6.257869
0.020000,2.290165,18.094090,0.773393,5.316784,20.171565,-3.325097,6.254471
0.020000,2.404488,18.090607,0.887769,5.718783,20.099969,-3.579817,6.251016
0.020000,2.526802,18.086456,1.010154,6.119238,20.022766,-3.860132,6.247547
0.020000,2.656665,18.081601,1.140108,6.497694,18.922783,-54.999161,6.244123
0.020000,2.793229,18.076034,1.276785,6.833846,16.807576,-105.760336,6.240811
0.020000,2.935648,18.069767,1.419342,7.127859,14.700670,-105.345301,6.237673
0.020000,3.083084,18.062834,1.566940,7.379930,12.603542,-104.856399,6.234766
0.020000,3.234701,18.055282,1.718746,7.590276,10.517320,-104.311105,6.232140
0.020000,3.389672,18.047181,1.873929,7.759140,8.443172,-103.707415,6.229838
0.020000,3.547175,18.038612,2.031664,7.886774,6.381721,-103.072541,6.227895
0.020000,3.706393,18.029670,2.191133,7.973447,4.333655,-102.403327,6.226340
0.020000,3.866517,18.020460,2.351522,8.019437,2.299501,-101.707689,6.225193
0.020000,4.026744,18.011094,2.512022,8.025025,0.279393,-101.005407,6.224465
