dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.517814,16.730783,0.000400,0.040000,2.000000,100.000000,0.000384
0.020000,1.517765,16.730783,0.000449,0.002454,-1.877315,-193.865765,0.000312
0.020000,1.517655,16.730783,0.000559,0.005515,0.153085,101.520034,0.000152
0.020000,1.520448,16.730783,0.003353,0.139666,6.707520,327.721744,6.283052
0.020000,1.530143,16.730780,0.013048,0.484756,17.254500,527.348976,6.282609
0.020000,1.544106,16.730767,0.027011,0.698151,10.669749,-329.237561,6.281973
0.020000,1.563115,16.730736,0.046020,0.950453,12.615111,97.268111,6.281114
0.020000,1.587950,16.730671,0.070855,1.241744,14.564557,97.472291,6.280001
0.020000,1.619392,16.730549,0.102297,1.572126,16.519114,97.727892,6.278608
0.020000,1.658226,16.730338,0.141132,1.941737,18.480547,98.071617,6.276913
0.020000,1.704851,16.729999,0.187758,2.331309,19.478562,49.900737,6.274915
0.020000,1.759280,16.729486,0.242189,2.721549,19.512022,1.673010,6.272633
0.020000,1.821527,16.728750,0.304441,3.112568,19.550954,1.946628,6.270089
0.020000,1.891609,16.727734,0.374530,3.504477,19.595437,2.224130,6.267311
0.020000,1.969545,16.726380,0.452478,3.897386,19.645452,2.500754,6.264325
0.020000,2.055355,16.724624,0.538306,4.291405,19.700975,2.776143,6.261166
0.020000,2.149062,16.722405,0.632039,4.686645,19.761969,3.049707,6.257869
0.020000,2.250689,16.719657,0.733703,5.083210,19.828244,3.313775,6.254471
0.020000,2.360262,16.716319,0.843327,5.481213,19.900153,3.595448,6.251016
0.020000,2.477810,16.712329,0.960942,5.880755,19.977107,3.847660,6.247547
0.020000,2.602968,16.707650,1.086188,6.262299,19.077229,-44.993864,6.244123
0.020000,2.734982,16.702268,1.218311,6.606149,17.192463,-94.238298,6.240811
0.020000,2.873091,16.696191,1.356554,6.912136,15.299346,-94.655881,6.237673
0.020000,3.016533,16.689445,1.500155,7.180066,13.396506,-95.142006,6.234766
0.020000,3.164544,16.682073,1.648350,7.409719,11.482649,-95.692830,6.232140
0.020000,3.316354,16.674137,1.800367,7.600857,9.556927,-96.286120,6.229838
0.020000,3.471190,16.665713,1.955431,7.753224,7.618348,-96.928950,6.227895
0.020000,3.628273,16.656891,2.112762,7.866551,5.666352,-97.599794,6.226340
0.020000,3.786822,16.647772,2.271574,7.940563,3.700575,-98.288856,6.225193
0.020000,3.946050,16.638464,2.431073,7.974975,1.720592,-98.999112,6.224465
0.020000,4.105563,16.629056,2.590863,7.989495,0.726024,-49.728399,6.224159
0.020000,4.265364,16.619616,2.750943,8.004011,0.725820,-0.010222,6.224276
0.020000,4.425459,16.610212,2.911314,8.018529,0.725888,0.003426,6.224815
0.020000,4.585851,16.600911,3.071975,8.033054,0.726216,0.016366,6.225777
0.020000,4.746543,16.591782,3.232927,8.047589,0.726773,0.027867,6.227161
0.020000,4.907541,16.582893,3.394169,8.062141,0.727590,0.040820,6.228969
0.020000,5.068847,16.574314,3.555704,8.076714,0.728648,0.052925,6.231201
0.020000,5.230465,16.566114,3.717530,8.091310,0.729820,0.058595,6.233857
0.020000,5.392399,16.558364,3.879649,8.105934,0.731189,0.068437,6.236939
0.020000,5.554650,16.551134,4.042060,8.120589,0.732758,0.078457,6.240447
0.020000,5.717220,16.544497,4.204766,8.135275,0.734274,0.075798,6.244382
0.020000,5.880110,16.538523,4.367766,8.149992,0.735850,0.078799,6.248746
0.020000,6.043321,16.533286,4.531061,8.164740,0.737427,0.078838,6.253539
0.020000,6.206851,16.528858,4.694651,8.179519,0.738943,0.075812,6.258761
0.020000,6.370699,16.525313,4.858537,8.194322,0.740148,0.060250,6.264414
0.020000,6.534862,16.522725,5.022720,8.209145,0.741179,0.051569,6.270499
0.020000,6.699334,16.521169,5.187200,8.223983,0.741893,0.035711,6.277015
0.020000,6.864110,16.520719,5.351976,8.238827,0.742167,0.013683,0.000778
0.020000,7.029182,16.521450,5.517050,8.253663,0.741833,-0.016723,0.008158
