dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.872667,21.920763,0.000400,0.040000,2.000000,100.000000,6.283159
0.020000,9.872667,21.920763,0.002000,0.120000,4.000000,100.000000,6.283161
0.020000,9.872667,21.920763,0.005600,0.240000,6.000000,100.000000,6.283167
0.020000,9.872667,21.920763,0.012000,0.400000,8.000000,100.000000,6.283176
0.020000,9.876518,21.920763,0.022000,0.600000,10.000000,100.000000,0.000006
0.020000,9.890918,21.920763,0.036400,0.840000,12.000000,100.000000,0.000027
0.020000,9.910518,21.920764,0.056000,1.120000,14.000000,100.000000,0.000056
0.020000,9.936118,21.920766,0.081600,1.440000,16.000000,100.000000,0.000094
0.020000,9.968518,21.920770,0.114000,1.800000,18.000000,100.000000,0.000142
0.020000,10.008518,21.920776,0.154000,2.200000,20.000000,100.000000,0.000201
0.020000,10.056518,21.920788,0.202000,2.600000,20.000000,-0.000000,0.000271
0.020000,10.112518,21.920805,0.258000,3.000000,20.000000,0.000000,0.000352
0.020000,10.176518,21.920831,0.322000,3.400000,20.000000,0.000000,0.000443
0.020000,10.248518,21.920866,0.394000,3.800000,20.000000,0.000000,0.000546
0.020000,10.328518,21.920914,0.474000,4.200000,20.000000,0.000000,0.000658
0.020000,10.416518,21.920978,0.562000,4.600000,20.000000,-0.000000,0.000781
0.020000,10.512518,21.921059,0.658000,5.000000,20.000000,0.000000,0.000912
0.020000,10.616517,21.921161,0.762000,5.400000,20.000000,0.000000,0.001053
0.020000,10.728517,21.921288,0.874000,5.800000,20.000000,-0.000000,0.001202
0.020000,10.848517,21.921441,0.994000,6.200000,20.000000,0.000000,0.001359
0.020000,10.976117,21.921625,1.121600,6.560000,18.000000,-100.000000,0.001523
0.020000,11.110517,21.921841,1.256000,6.880000,16.000000,-100.000000,0.001691
0.020000,11.250917,21.922091,1.396400,7.160000,14.000000,-100.000000,0.001864
0.020000,11.396516,21.922375,1.542000,7.400000,12.000000,-100.000000,0.002039
0.020000,11.546516,21.922694,1.692000,7.600000,10.000000,-100.000000,0.002214
0.020000,11.700116,21.923048,1.845600,7.760000,8.000000,-100.000000,0.002389
0.020000,11.856515,21.923435,2.002000,7.880000,6.000000,-100.000000,0.002563
0.020000,12.014915,21.923854,2.160400,7.960000,4.000000,-100.000000,0.002734
0.020000,12.174514,21.924304,2.320000,8.000000,2.000000,-100.000000,0.002901
0.020000,12.334513,21.924781,2.480000,8.000000,0.000000,-100.000000,0.003063
0.020000,12.494513,21.925284,2.640000,8.000000,0.000000,0.000000,0.003220
0.020000,12.654512,21.925811,2.800000,8.000000,0.000000,0.000000,0.003372
0.020000,12.814511,21.926363,2.960000,8.000000,0.000000,0.000000,0.003519
0.020000,12.974510,21.926937,3.120000,8.000000,0.000000,0.000000,0.003661
0.020000,13.134509,21.927534,3.280000,8.000000,0.000000,0.000000,0.003798
0.020000,13.294507,21.928152,3.440000,8.000000,0.000000,0.000000,0.003929
0.020000,13.454506,21.928791,3.600000,8.000000,0.000000,0.000000,0.004056
0.020000,13.614505,21.929450,3.760000,8.000000,0.000000,0.000000,0.004177
0.020000,13.774503,21.930127,3.920000,8.000000,0.000000,0.000000,0.004293
0.020000,13.934502,21.930823,4.080000,8.000000,0.000000,0.000000,0.004405
0.020000,14.094500,21.931537,4.240000,8.000000,0.000000,0.000000,0.004511
0.020000,14.254499,21.932266,4.400000,8.000000,0.000000,0.000000,0.004612
0.020000,14.414497,21.933012,4.560000,8.000000,0.000000,0.000000,0.004707
0.020000,14.574495,21.933773,4.720000,8.000000,0.000000,0.000000,0.004798
0.020000,14.734493,21.934547,4.880000,8.000000,0.000000,0.000000,0.004884
0.020000,14.894491,21.935335,5.040000,8.000000,0.000000,0.000000,0.004964
0.020000,15.054489,21.936135,5.200000,8.000000,0.000000,0.000000,0.005040
0.020000,15.214487,21.936947,5.360000,8.000000,0.000000,0.000000,0.005110
0.020000,15.374485,21.937770,5.520000,8.000000,0.000000,0.000000,0.005175
0.020000,15.534483,21.938603,5.680000,8.000000,0.000000,0.000000,0.005235
0.020000,15.694481,21.939445,5.840000,8.000000,0.000000,0.000000,0.005290
0.020000,15.854478,21.940296,6.000000,8.000000,0.000000,0.000000,0.005340
0.020000,16.014476,21.941154,6.160000,8.000000,0.000000,0.000000,0.005385
0.020000,16.174474,21.942018,6.320000,8.000000,0.000000,0.000000,0.005424
0.020000,16.334471,21.942889,6.480000,8.000000,0.000000,0.000000,0.005459
0.020000,16.494469,21.943765,6.640000,8.000000,0.000000,0.000000,0.005488
0.020000,16.654467,21.944645,6.800000,8.000000,0.000000,0.000000,0.005512
0.020000,16.814464,21.945529,6.960000,8.000000,0.000000,0.000000,0.005531
0.020000,16.974462,21.946415,7.120000,8.000000,0.000000,0.000000,0.005545
0.020000,17.134459,21.947303,7.280000,8.000000,0.000000,0.000000,0.005554
0.020000,17.294457,21.948192,7.440000,8.000000,0.000000,0.000000,0.005558
0.020000,17.454454,21.949081,7.600000,8.000000,0.000000,0.000000,0.005557
0.020000,17.614452,21.949970,7.760000,8.000000,0.000000,0.000000,0.005550
0.020000,17.774449,21.950857,7.920000,8.000000,0.000000,0.000000,0.005539
0.020000,17.934447,21.951742,8.080000,8.000000,0.000000,0.000000,0.005522
0.020000,18.094444,21.952624,8.240000,8.000000,0.000000,0.000000,0.005500
0.020000,18.254442,21.953502,8.400000,8.000000,0.000000,0.000000,0.005474
0.020000,18.414440,21.954375,8.560000,8.000000,0.000000,0.000000,0.005442
0.020000,18.574437,21.955243,8.720000,8.000000,0.000000,0.000000,0.005405
0.020000,18.734435,21.956104,8.880000,8.000000,0.000000,0.000000,0.005362
0.020000,18.894433,21.956959,9.040000,8.000000,0.000000,0.000000,0.005315
0.020000,19.054430,21.957805,9.200000,8.000000,0.000000,0.000000,0.005263
0.020000,19.214428,21.958642,9.360000,8.000000,0.000000,0.000000,0.005205
0.020000,19.374426,21.959470,9.520000,8.000000,0.000000,0.000000,0.005142
0.020000,19.534424,21.960288,9.680000,8.000000,0.000000,0.000000,0.005075
0.020000,19.694422,21.961094,9.840000,8.000000,0.000000,0.000000,0.005002
0.020000,19.854420,21.961888,10.000000,8.000000,0.000000,0.000000,0.004924
0.020000,20.014418,21.962669,10.160000,8.000000,0.000000,0.000000,0.004841
0.020000,20.174416,21.963437,10.320000,8.000000,0.000000,0.000000,0.004753
0.020000,20.334415,21.964190,10.480000,8.000000,0.000000,0.000000,0.004659
0.020000,20.494413,21.964927,10.640000,8.000000,0.000000,0.000000,0.004561
0.020000,20.654411,21.965649,10.800000,8.000000,0.000000,0.000000,0.004457
0.020000,20.814410,21.966353,10.960000,8.000000,0.000000,0.000000,0.004349
0.020000,20.974408,21.967040,11.120000,8.000000,0.000000,0.000000,0.004235
0.020000,21.134407,21.967708,11.280000,8.000000,0.000000,0.000000,0.004116
0.020000,21.294405,21.968357,11.440000,8.000000,0.000000,0.000000,0.003992
0.020000,21.454404,21.968985,11.600000,8.000000,0.000000,0.000000,0.003863
0.020000,21.614403,21.969593,11.760000,8.000000,0.000000,0.000000,0.003729
0.020000,21.774402,21.970178,11.920000,8.000000,0.000000,0.000000,0.003589
0.020000,21.934401,21.970741,12.080000,8.000000,0.000000,0.000000,0.003445
0.020000,22.094400,21.971280,12.240000,8.000000,0.000000,0.000000,0.003295
0.020000,22.254399,21.971795,12.400000,8.000000,0.000000,0.000000,0.003141
0.020000,22.414399,21.972285,12.560000,8.000000,0.000000,0.000000,0.002981
0.020000,22.574398,21.972749,12.720000,8.000000,0.000000,0.000000,0.002816
0.020000,22.734397,21.973186,12.880000,8.000000,0.000000,0.000000,0.002646
0.020000,22.894397,21.973595,13.040000,8.000000,0.000000,0.000000,0.002471
0.020000,23.054396,21.973976,13.200000,8.000000,0.000000,0.000000,0.002291
0.020000,23.214396,21.974328,13.360000,8.000000,0.000000,0.000000,0.002105
0.020000,23.374396,21.974650,13.520000,8.000000,0.000000,0.000000,0.001915
0.020000,23.534395,21.974940,13.680000,8.000000,0.000000,0.000000,0.001719
0.020000,23.694395,21.975199,13.840000,8.000000,0.000000,0.000000,0.001518
0.020000,23.854395,21.975426,14.000000,8.000000,0.000000,0.000000,0.001313
0.020000,24.014395,21.975619,14.160000,8.000000,0.000000,0.000000,0.001102
0.020000,24.174395,21.975778,14.320000,8.000000,0.000000,0.000000,0.000886
0.020000,24.334395,21.975902,14.480000,8.000000,0.000000,0.000000,0.000665
0.020000,24.494395,21.975991,14.640000,8.000000,0.000000,0.000000,0.000438
0.020000,24.654395,21.976042,14.800000,8.000000,0.000000,0.000000,0.000207
0.020000,24.814395,21.976057,14.960000,8.000000,0.000000,0.000000,6.283156
0.020000,24.974395,21.976033,15.120000,8.000000,0.000000,0.000000,6.282914
0.020000,25.134395,21.975970,15.280000,8.000000,0.000000,0.000000,6.282668
0.020000,25.294395,21.975867,15.440000,8.000000,0.000000,0.000000,6.282416
0.020000,25.454395,21.975723,15.600000,8.000000,0.000000,0.000000,6.282159
0.020000,25.614394,21.975538,15.760000,8.000000,0.000000,0.000000,6.281897
0.020000,25.774213,21.975311,15.919819,7.981865,-0.906761,-45.338067,6.281630
0.020000,25.933269,21.975042,16.078875,7.923730,-2.906761,-100.000000,6.281359
0.020000,26.090762,21.974733,16.236368,7.825594,-4.906761,-100.000000,6.281087
0.020000,26.245892,21.974386,16.391498,7.687459,-6.906761,-100.000000,6.280813
0.020000,26.397859,21.974005,16.543466,7.509324,-8.906761,-100.000000,6.280540
0.020000,26.545864,21.973594,16.691471,7.291189,-10.906761,-100.000000,6.280270
0.020000,26.689105,21.973157,16.834714,7.033053,-12.906761,-100.000000,6.280004
0.020000,26.826784,21.972701,16.972393,6.734918,-14.906761,-100.000000,6.279745
0.020000,26.958101,21.972233,17.103710,6.396783,-16.906761,-100.000000,6.279495
0.020000,27.082254,21.971760,17.227865,6.018648,-18.906761,-100.000000,6.279255
0.020000,27.198626,21.971290,17.344238,5.618648,-20.000000,-54.661933,6.279027
0.020000,27.306998,21.970827,17.452611,5.218648,-20.000000,-0.000000,6.278812
0.020000,27.407370,21.970378,17.552984,4.818648,-20.000000,0.000000,6.278611
0.020000,27.499742,21.969947,17.645357,4.418648,-20.000000,0.000000,6.278424
0.020000,27.584114,21.969538,17.729730,4.018648,-20.000000,-0.000000,6.278252
0.020000,27.660486,21.969155,17.806103,3.618648,-20.000000,0.000000,6.278096
0.020000,27.728858,21.968803,17.874475,3.218648,-20.000000,0.000000,6.277954
0.020000,27.789230,21.968483,17.934848,2.818648,-20.000000,0.000000,6.277828
0.020000,27.841602,21.968200,17.987221,2.418648,-20.000000,0.000000,6.277719
0.020000,27.885974,21.967955,18.031594,2.018648,-20.000000,-0.000000,6.277626
0.020000,27.922528,21.967750,18.068149,1.636783,-19.093239,45.338067,6.277548
0.020000,27.951845,21.967584,18.097466,1.294918,-17.093239,100.000000,6.277486
0.020000,27.974724,21.967453,18.120345,0.993053,-15.093239,100.000000,6.277438
0.020000,27.991966,21.967354,18.137588,0.731189,-13.093239,100.000000,6.277401
0.020000,28.004371,21.967282,18.149993,0.509324,-11.093239,100.000000,6.277375
0.020000,28.012739,21.967233,18.158361,0.327459,-9.093239,100.000000,6.277357
0.020000,28.017869,21.967203,18.163491,0.185594,-7.093239,100.000000,6.277346
0.020000,28.020562,21.967188,18.166185,0.083730,-5.093239,100.000000,6.277340
0.020000,28.021618,21.967181,18.167240,0.021865,-3.093239,100.000000,6.277338
0.020000,28.021837,21.967180,18.167459,0.000000,-1.093239,100.000000,6.277337
0.020000,28.021837,21.967180,18.167459,0.000000,0.000000,54.661933,6.277337
