dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.349723,18.151969,0.000400,0.040000,2.000000,100.000000,6.257231
0.020000,1.349708,18.151969,0.000415,0.000730,-1.963509,-198.175474,6.257252
0.020000,1.349675,18.151970,0.000447,0.001641,0.045572,100.454089,6.257300
0.020000,1.353815,18.151863,0.004588,0.207049,10.270403,511.241534,6.257385
0.020000,1.363721,18.151608,0.014497,0.495452,14.420155,207.487586,6.257517
0.020000,1.377985,18.151243,0.028767,0.713467,10.900724,-175.971532,6.257707
0.020000,1.397402,18.150751,0.048190,0.971137,12.883488,99.138216,6.257965
0.020000,1.422763,18.150116,0.073559,1.268474,14.866863,99.168719,6.258300
0.020000,1.454863,18.149323,0.105669,1.605494,16.851011,99.207398,6.258722
0.020000,1.494496,18.148364,0.145313,1.982218,18.836181,99.258497,6.259239
0.020000,1.542060,18.147239,0.192890,2.378845,19.831385,49.760218,6.259855
0.020000,1.597557,18.145964,0.248402,2.775574,19.836414,0.251455,6.260565
0.020000,1.660989,18.144555,0.311850,3.172419,19.842282,0.293402,6.261368
0.020000,1.732361,18.143029,0.383238,3.569399,19.848985,0.335138,6.262258
0.020000,1.811675,18.141408,0.462569,3.966530,19.856535,0.377500,6.263232
0.020000,1.898935,18.139712,0.549845,4.363828,19.864930,0.419767,6.264284
0.020000,1.994145,18.137966,0.645071,4.761312,19.874175,0.462217,6.265409
0.020000,2.097310,18.136194,0.748251,5.158997,19.884250,0.503756,6.266602
0.020000,2.208434,18.134421,0.859389,5.556900,19.895181,0.546563,6.267856
0.020000,2.327522,18.132674,0.978490,5.955040,19.906964,0.589134,6.269164
0.020000,2.454182,18.130984,1.105162,6.333575,18.926744,-49.010985,6.270514
0.020000,2.587625,18.129385,1.238614,6.672642,16.953364,-98.669018,6.271892
0.020000,2.727062,18.127908,1.378059,6.972217,14.978761,-98.730108,6.273282
0.020000,2.871701,18.126577,1.522704,7.232271,13.002712,-98.802487,6.274671
0.020000,3.020752,18.125411,1.671760,7.452772,11.025015,-98.884832,6.276044
0.020000,3.173423,18.124424,1.824433,7.633682,9.045511,-98.975227,6.277392
0.020000,3.328920,18.123626,1.979933,7.774963,7.064044,-99.073347,6.278702
0.020000,3.486450,18.123020,2.137464,7.876573,5.080510,-99.176691,6.279965
0.020000,3.645219,18.122605,2.296233,7.938469,3.094821,-99.284427,6.281174
0.020000,3.804431,18.122377,2.455446,7.960608,1.106918,-99.395155,6.282319
0.020000,3.963688,18.122326,2.614703,7.962853,0.112273,-49.732246,0.000215
0.020000,4.122990,18.122442,2.774005,7.965099,0.112280,0.000329,0.001230
0.020000,4.282337,18.122715,2.933351,7.967344,0.112284,0.000210,0.002180
0.020000,4.441728,18.123134,3.092743,7.969590,0.112287,0.000155,0.003065
0.020000,4.601164,18.123688,3.252180,7.971836,0.112287,0.000002,0.003884
0.020000,4.760644,18.124369,3.411662,7.974082,0.112288,0.000022,0.004638
0.020000,4.920168,18.125164,3.571188,7.976327,0.112285,-0.000123,0.005327
0.020000,5.079737,18.126065,3.730760,7.978573,0.112284,-0.000069,0.005950
0.020000,5.239350,18.127060,3.890376,7.980819,0.112280,-0.000181,0.006508
0.020000,5.399008,18.128139,4.050037,7.983064,0.112278,-0.000122,0.007001
0.020000,5.558710,18.129292,4.209744,7.985310,0.112274,-0.000190,0.007428
0.020000,5.718457,18.130509,4.369495,7.987555,0.112271,-0.000138,0.007790
0.020000,5.878248,18.131778,4.529291,7.989800,0.112268,-0.000163,0.008087
0.020000,6.038083,18.133090,4.689132,7.992046,0.112265,-0.000123,0.008318
0.020000,6.197963,18.134434,4.849017,7.994291,0.112263,-0.000114,0.008484
0.020000,6.357888,18.135800,5.008948,7.996536,0.112261,-0.000083,0.008585
0.020000,6.517858,18.137177,5.168924,7.998781,0.112260,-0.000055,0.008620
0.020000,6.677872,18.138555,5.328944,8.001027,0.112260,-0.000024,0.008591
0.020000,6.837848,18.139923,5.488925,7.999052,-0.098748,-10.550386,0.008495
0.020000,6.997299,18.141265,5.648382,7.972835,-1.310820,-60.603629,0.008336
0.020000,7.155424,18.142567,5.806513,7.906551,-3.314224,-100.170191,0.008114
0.020000,7.311423,18.143811,5.962516,7.800154,-5.319827,-100.280125,0.007832
0.020000,7.464490,18.144985,6.115588,7.653603,-7.327566,-100.386966,0.007496
0.020000,7.613823,18.146076,6.264925,7.466856,-9.337352,-100.489271,0.007110
0.020000,7.758617,18.147076,6.409723,7.239875,-11.349067,-100.585766,0.006682
0.020000,7.898067,18.147976,6.549175,6.972623,-13.362565,-100.674888,0.006220
0.020000,8.031366,18.148773,6.682477,6.665070,-15.377671,-100.755337,0.005732
0.020000,8.157708,18.149466,6.808820,6.317186,-17.394184,-100.825656,0.005228
0.020000,8.276370,18.150056,6.927484,5.933179,-19.200335,-90.307510,0.004718
0.020000,8.387031,18.150550,7.038146,5.533100,-20.003978,-40.182178,0.004210
0.020000,8.489686,18.150957,7.140802,5.132788,-20.015590,-0.580593,0.003711
0.020000,8.584330,18.151286,7.235447,4.732261,-20.026360,-0.538501,0.003228
0.020000,8.670961,18.151546,7.322078,4.331535,-20.036288,-0.496399,0.002765
0.020000,8.749573,18.151746,7.400690,3.930628,-20.045374,-0.454300,0.002330
0.020000,8.820164,18.151896,7.471281,3.529555,-20.053618,-0.412197,0.001925
0.020000,8.882730,18.152005,7.533848,3.128335,-20.061020,-0.370090,0.001556
0.020000,8.937270,18.152081,7.588388,2.726983,-20.067579,-0.327981,0.001226
0.020000,8.983780,18.152131,7.634898,2.325517,-20.073297,-0.285871,0.000938
0.020000,9.022344,18.152163,7.673462,1.928190,-19.866358,10.346940,0.000696
0.020000,9.053446,18.152181,7.704564,1.555108,-18.654106,60.612607,0.000498
0.020000,9.077889,18.152192,7.729007,1.222144,-16.648197,100.295448,0.000341
0.020000,9.096476,18.152197,7.747593,0.929318,-14.641319,100.343923,0.000220
0.020000,9.110008,18.152199,7.761126,0.676644,-12.633689,100.381468,0.000131
0.020000,9.119291,18.152200,7.770409,0.464134,-10.625500,100.409481,0.000070
0.020000,9.125127,18.152200,7.776245,0.291796,-8.616912,100.429370,0.000032
0.020000,9.128320,18.152201,7.779437,0.159635,-6.608061,100.442536,0.000011
0.020000,9.129673,18.152201,7.780790,0.067653,-4.599054,100.450385,0.000002
0.020000,9.129990,18.152201,7.781108,0.015854,-2.589967,100.454320,6.283185
0.020000,9.129990,18.152201,7.781108,0.000000,-0.792706,89.863057,6.283185
