dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.331881,17.464701,0.000400,0.040000,2.000000,100.000000,6.257231
0.020000,1.331881,17.464701,0.002000,0.120000,4.000000,100.000000,6.257252
0.020000,1.331881,17.464701,0.005600,0.240000,6.000000,100.000000,6.257300
0.020000,1.336079,17.464592,0.012000,0.400000,8.000000,100.000000,6.257385
0.020000,1.346076,17.464335,0.022000,0.600000,10.000000,100.000000,6.257517
0.020000,1.360471,17.463967,0.036400,0.840000,12.000000,100.000000,6.257707
0.020000,1.380065,17.463470,0.056000,1.120000,14.000000,100.000000,6.257965
0.020000,1.405657,17.462828,0.081600,1.440000,16.000000,100.000000,6.258300
0.020000,1.438047,17.462029,0.114000,1.800000,18.000000,100.000000,6.258722
0.020000,1.478035,17.461061,0.154000,2.200000,20.000000,100.000000,6.259239
0.020000,1.526022,17.459927,0.202000,2.600000,20.000000,-0.000000,6.259855
0.020000,1.582007,17.458640,0.258000,3.000000,20.000000,0.000000,6.260565
0.020000,1.645991,17.457218,0.322000,3.400000,20.000000,0.000000,6.261368
0.020000,1.717975,17.455680,0.394000,3.800000,20.000000,0.000000,6.262258
0.020000,1.797958,17.454045,0.474000,4.200000,20.000000,0.000000,6.263232
0.020000,1.885941,17.452335,0.562000,4.600000,20.000000,-0.000000,6.264284
0.020000,1.981925,17.450575,0.658000,5.000000,20.000000,0.000000,6.265409
0.020000,2.085910,17.448789,0.762000,5.400000,20.000000,0.000000,6.266602
0.020000,2.197895,17.447002,0.874000,5.800000,20.000000,-0.000000,6.267856
0.020000,2.317883,17.445241,0.994000,6.200000,20.000000,0.000000,6.269164
0.020000,2.445471,17.443539,1.121600,6.560000,18.000000,-100.000000,6.270514
0.020000,2.579861,17.441929,1.256000,6.880000,16.000000,-100.000000,6.271892
0.020000,2.720254,17.440442,1.396400,7.160000,14.000000,-100.000000,6.273282
0.020000,2.865847,17.439101,1.542000,7.400000,12.000000,-100.000000,6.274671
0.020000,3.015843,17.437928,1.692000,7.600000,10.000000,-100.000000,6.276044
0.020000,3.169440,17.436935,1.845600,7.760000,8.000000,-100.000000,6.277392
0.020000,3.325838,17.436133,2.002000,7.880000,6.000000,-100.000000,6.278702
0.020000,3.484236,17.435523,2.160400,7.960000,4.000000,-100.000000,6.279965
0.020000,3.643836,17.435107,2.320000,8.000000,2.000000,-100.000000,6.281174
0.020000,3.803836,17.434877,2.480000,8.000000,0.000000,-100.000000,6.282319
0.020000,3.963836,17.434826,2.640000,8.000000,0.000000,0.000000,0.000215
0.020000,4.123836,17.434943,2.800000,8.000000,0.000000,0.000000,0.001230
0.020000,4.283835,17.435216,2.960000,8.000000,0.000000,0.000000,0.002180
0.020000,4.443835,17.435637,3.120000,8.000000,0.000000,0.000000,0.003065
0.020000,4.603834,17.436194,3.280000,8.000000,0.000000,0.000000,0.003884
0.020000,4.763832,17.436876,3.440000,8.000000,0.000000,0.000000,0.004638
0.020000,4.923830,17.437674,3.600000,8.000000,0.000000,0.000000,0.005327
0.020000,5.083828,17.438577,3.760000,8.000000,0.000000,0.000000,0.005950
