dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.314039,16.777432,0.000400,0.040000,2.000000,100.000000,6.257231
0.020000,1.314054,16.777432,0.000415,0.000730,-1.963509,-198.175474,6.257252
0.020000,1.314087,16.777431,0.000447,0.001641,0.045572,100.454089,6.257300
0.020000,1.318343,16.777321,0.004705,0.212879,10.561903,525.816525,6.257385
0.020000,1.328430,16.777061,0.014796,0.504547,14.583409,201.075288,6.257517
0.020000,1.342956,16.776690,0.029327,0.726533,11.099285,-174.206182,6.257707
0.020000,1.362727,16.776188,0.049104,0.988863,13.116504,100.860940,6.257965
0.020000,1.388550,16.775541,0.074934,1.291526,15.133146,100.832103,6.258300
0.020000,1.421230,16.774735,0.107625,1.634506,17.148983,100.791858,6.258722
0.020000,1.461574,16.773758,0.147980,2.017782,19.163817,100.741687,6.259239
0.020000,1.509983,16.772614,0.196403,2.421154,20.168611,50.239723,6.259855
0.020000,1.566457,16.771316,0.252892,2.824426,20.163587,-0.251191,6.260565
0.020000,1.630993,16.769882,0.317443,3.227581,20.157722,-0.293281,6.261368
0.020000,1.703588,16.768330,0.390055,3.630601,20.151008,-0.335690,6.262258
0.020000,1.784241,16.766681,0.470725,4.033470,20.143457,-0.377568,6.263232
0.020000,1.872947,16.764958,0.559448,4.436171,20.135064,-0.419647,6.264284
0.020000,1.969705,16.763184,0.656222,4.838688,20.125831,-0.461636,6.265409
0.020000,2.074509,16.761383,0.761042,5.241003,20.115738,-0.504639,6.266602
0.020000,2.187357,16.759583,0.873904,5.643099,20.104810,-0.546426,6.267856
0.020000,2.308243,16.757809,0.994803,6.044959,20.093039,-0.588510,6.269164
0.020000,2.436760,16.756094,1.123332,6.426424,19.073244,-50.989790,6.270514
0.020000,2.572098,16.754473,1.258679,6.767357,17.046632,-101.330595,6.271892
0.020000,2.713445,16.752975,1.400034,7.067782,15.021238,-101.269695,6.273282
0.020000,2.859994,16.751626,1.546589,7.327728,12.997288,-101.197470,6.274671
0.020000,3.010934,16.750446,1.697534,7.547227,10.974981,-101.115391,6.276044
0.020000,3.165457,16.749447,1.852060,7.726317,8.954494,-101.024345,6.277392
0.020000,3.322755,16.748640,2.009361,7.865036,6.935957,-100.926840,6.278702
0.020000,3.482023,16.748027,2.168629,7.963426,4.919493,-100.823193,6.279965
0.020000,3.642453,16.747608,2.329060,8.021530,2.905185,-100.715417,6.281174
0.020000,3.803240,16.747378,2.489848,8.039391,0.893086,-100.604951,6.282319
