dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.532305,18.105625,0.000400,0.040000,2.000000,100.000000,6.261723
0.020000,1.532347,18.105624,0.000442,0.002112,-1.894416,-194.720805,6.261661
0.020000,1.532442,18.105622,0.000537,0.004745,0.131685,101.305075,6.261523
0.020000,1.537086,18.105521,0.005183,0.232282,11.376822,562.256844,6.261278
0.020000,1.547346,18.105294,0.015445,0.513099,14.040843,133.201054,6.260897
0.020000,1.562117,18.104961,0.030220,0.738751,11.282608,-137.911792,6.260352
0.020000,1.582218,18.104494,0.050326,1.005312,13.328049,102.272070,6.259616
0.020000,1.608464,18.103863,0.076580,1.312696,15.369206,102.057829,6.258664
0.020000,1.641669,18.103029,0.109796,1.660788,17.404608,101.770118,6.257478
0.020000,1.682644,18.101945,0.150785,2.049443,19.432722,101.405716,6.256039
0.020000,1.731785,18.100570,0.199945,2.458000,20.427881,49.757940,6.254352
0.020000,1.789076,18.098862,0.257261,2.865831,20.391556,-1.816262,6.252437
0.020000,1.854499,18.096780,0.322718,3.272817,20.349274,-2.114104,6.250319
0.020000,1.928033,18.094277,0.396294,3.678835,20.300934,-2.416974,6.248025
0.020000,2.009655,18.091306,0.477970,4.083769,20.246668,-2.713317,6.245588
0.020000,2.099337,18.087817,0.567719,4.487495,20.186335,-3.016651,6.243043
0.020000,2.197051,18.083763,0.665517,4.889899,20.120197,-3.306906,6.240428
0.020000,2.302765,18.079099,0.771335,5.290861,20.048094,-3.605150,6.237784
0.020000,2.416446,18.073782,0.885140,5.690264,19.970127,-3.898325,6.235159
0.020000,2.538058,18.067779,1.006900,6.087990,19.886328,-4.189940,6.232599
0.020000,2.667158,18.061082,1.136173,6.463679,18.784410,-55.095901,6.230164
0.020000,2.802901,18.053721,1.272116,6.797135,16.672813,-105.579886,6.227920
0.020000,2.944447,18.045745,1.413887,7.088538,14.570151,-105.133103,6.225927
0.020000,3.090961,18.037218,1.560649,7.338096,12.477922,-104.611453,6.224237
0.020000,3.241614,18.028220,1.711570,7.546045,10.397425,-104.024831,6.222897
