dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.517550,17.418283,0.000400,0.040000,2.000000,100.000000,6.261723
0.020000,1.517550,17.418283,0.002000,0.120000,4.000000,100.000000,6.261661
0.020000,1.517550,17.418283,0.005600,0.240000,6.000000,100.000000,6.261523
0.020000,1.522027,17.418186,0.012000,0.400000,8.000000,100.000000,6.261278
0.020000,1.532024,17.417965,0.022000,0.600000,10.000000,100.000000,6.260897
0.020000,1.546420,17.417640,0.036400,0.840000,12.000000,100.000000,6.260352
0.020000,1.566015,17.417185,0.056000,1.120000,14.000000,100.000000,6.259616
0.020000,1.591608,17.416569,0.081600,1.440000,16.000000,100.000000,6.258664
0.020000,1.623997,17.415756,0.114000,1.800000,18.000000,100.000000,6.257478
0.020000,1.663984,17.414699,0.154000,2.200000,20.000000,100.000000,6.256039
0.020000,1.711965,17.413355,0.202000,2.600000,20.000000,-0.000000,6.254352
0.020000,1.767940,17.411687,0.258000,3.000000,20.000000,0.000000,6.252437
0.020000,1.831907,17.409651,0.322000,3.400000,20.000000,0.000000,6.250319
0.020000,1.903866,17.407202,0.394000,3.800000,20.000000,0.000000,6.248025
0.020000,1.983813,17.404292,0.474000,4.200000,20.000000,0.000000,6.245588
0.020000,2.071746,17.400871,0.562000,4.600000,20.000000,-0.000000,6.243043
0.020000,2.167664,17.396892,0.658000,5.000000,20.000000,0.000000,6.240428
0.020000,2.271563,17.392307,0.762000,5.400000,20.000000,0.000000,6.237784
0.020000,2.383440,17.387075,0.874000,5.800000,20.000000,-0.000000,6.235159
0.020000,2.503294,17.381158,0.994000,6.200000,20.000000,0.000000,6.232599
0.020000,2.630723,17.374548,1.121600,6.560000,18.000000,-100.000000,6.230164
0.020000,2.764926,17.367271,1.256000,6.880000,16.000000,-100.000000,6.227920
0.020000,2.905103,17.359372,1.396400,7.160000,14.000000,-100.000000,6.225927
0.020000,3.050457,17.350912,1.542000,7.400000,12.000000,-100.000000,6.224237
0.020000,3.200191,17.341969,1.692000,7.600000,10.000000,-100.000000,6.222897
0.020000,3.353507,17.332636,1.845600,7.760000,8.000000,-100.000000,6.221947
0.020000,3.509611,17.323018,2.002000,7.880000,6.000000,-100.000000,6.221419
0.020000,3.667708,17.313228,2.160400,7.960000,4.000000,-100.000000,6.221335
0.020000,3.827004,17.303386,2.320000,8.000000,2.000000,-100.000000,6.221709
0.020000,3.986706,17.293617,2.480000,8.000000,0.000000,-100.000000,6.222546
0.020000,4.146417,17.284018,2.640000,8.000000,0.000000,0.000000,6.223847
0.020000,4.306144,17.274665,2.800000,8.000000,0.000000,0.000000,6.225612
0.020000,4.465888,17.265630,2.960000,8.000000,0.000000,0.000000,6.227840
0.020000,4.625655,17.256988,3.120000,8.000000,0.000000,0.000000,6.230534
0.020000,4.785446,17.248814,3.280000,8.000000,0.000000,0.000000,6.233693
0.020000,4.945264,17.241182,3.440000,8.000000,0.000000,0.000000,6.237318
0.020000,5.105110,17.234167,3.600000,8.000000,0.000000,0.000000,6.241411
0.020000,5.264984,17.227843,3.760000,8.000000,0.000000,0.000000,6.245971
0.020000,5.424888,17.222286,3.920000,8.000000,0.000000,0.000000,6.250999
0.020000,5.584818,17.217570,4.080000,8.000000,0.000000,0.000000,6.256497
0.020000,5.744773,17.213772,4.240000,8.000000,0.000000,0.000000,6.262464
0.020000,5.904748,17.210965,4.400000,8.000000,0.000000,0.000000,6.268901
0.020000,6.064738,17.209226,4.560000,8.000000,0.000000,0.000000,6.275807
0.020000,6.224737,17.208629,4.720000,8.000000,0.000000,0.000000,6.283182
0.020000,6.384735,17.209250,4.880000,8.000000,0.000000,0.000000,0.007840
0.020000,6.544723,17.211163,5.040000,8.000000,0.000000,0.000000,0.016151
0.020000,6.704689,17.214442,5.200000,8.000000,0.000000,0.000000,0.024926
0.020000,6.864619,17.219163,5.360000,8.000000,0.000000,0.000000,0.034164
0.020000,7.024497,17.225397,5.520000,8.000000,0.000000,0.000000,0.043860
0.020000,7.184305,17.233218,5.680000,8.000000,0.000000,0.000000,0.054011
0.020000,7.344023,17.242696,5.840000,8.000000,0.000000,0.000000,0.064612
0.020000,7.503629,17.253902,6.000000,8.000000,0.000000,0.000000,0.075656
0.020000,7.663099,17.266905,6.160000,8.000000,0.000000,0.000000,0.087136
0.020000,7.822406,17.281773,6.320000,8.000000,0.000000,0.000000,0.099044
0.020000,7.981521,17.298569,6.480000,8.000000,0.000000,0.000000,0.111370
0.020000,8.140413,17.317358,6.640000,8.000000,0.000000,0.000000,0.124103
0.020000,8.299048,17.338200,6.800000,8.000000,0.000000,0.000000,0.137231
0.020000,8.457392,17.361153,6.960000,8.000000,0.000000,0.000000,0.150740
0.020000,8.615407,17.386272,7.120000,8.000000,0.000000,0.000000,0.164615
0.020000,8.773053,17.413609,7.280000,8.000000,0.000000,0.000000,0.178840
0.020000,8.930289,17.443212,7.440000,8.000000,0.000000,0.000000,0.193396
0.020000,9.075521,17.472725,7.600000,8.000000,0.000000,0.000000,0.208900
0.020000,9.231666,17.507616,7.760000,8.000000,0.000000,0.000000,0.230694
0.020000,9.387025,17.545864,7.920000,8.000000,0.000000,0.000000,0.252001
0.020000,9.541544,17.587372,8.080000,8.000000,0.000000,0.000000,0.272771
0.020000,9.695180,17.632036,8.240000,8.000000,0.000000,0.000000,0.292960
0.020000,9.847899,17.679746,8.400000,8.000000,0.000000,0.000000,0.312530
0.020000,9.999671,17.730386,8.560000,8.000000,0.000000,0.000000,0.331447
0.020000,10.150476,17.783837,8.720000,8.000000,0.000000,0.000000,0.349680
0.020000,10.300302,17.839976,8.880000,8.000000,0.000000,0.000000,0.367205
0.020000,10.449142,17.898678,9.040000,8.000000,0.000000,0.000000,0.384002
0.020000,10.596999,17.959817,9.200000,8.000000,0.000000,0.000000,0.400055
0.020000,10.743879,18.023266,9.360000,8.000000,0.000000,0.000000,0.415351
0.020000,10.889796,18.088898,9.520000,8.000000,0.000000,0.000000,0.429882
0.020000,11.034771,18.156588,9.680000,8.000000,0.000000,0.000000,0.443642
0.020000,11.178827,18.226211,9.840000,8.000000,0.000000,0.000000,0.456629
0.020000,11.321996,18.297643,10.000000,8.000000,0.000000,0.000000,0.468840
