dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.635488,18.105783,0.000400,0.040000,2.000000,100.000000,0.000194
0.020000,0.635514,18.105783,0.000427,0.001335,-1.933242,-196.662095,0.000156
0.020000,0.635574,18.105783,0.000487,0.003002,0.083362,100.830194,0.000068
0.020000,0.639267,18.105783,0.004179,0.184627,9.081238,449.893806,6.283098
0.020000,0.649433,18.105781,0.014346,0.508316,16.184437,355.159925,6.282857
0.020000,0.664072,18.105774,0.028984,0.731943,11.181348,-250.154426,6.282509
0.020000,0.683996,18.105755,0.048908,0.996195,13.212600,101.562593,6.282038
0.020000,0.710017,18.105718,0.074929,1.301047,15.242603,101.500131,6.281426
0.020000,0.742946,18.105647,0.107859,1.646466,17.270961,101.417944,6.280656
0.020000,0.783594,18.105525,0.148507,2.032410,19.297181,101.311001,6.279713
0.020000,0.832364,18.105328,0.197277,2.438506,20.304796,50.380715,6.278593
0.020000,0.889251,18.105030,0.254165,2.844392,20.294295,-0.525030,6.277301
0.020000,0.954250,18.104600,0.319165,3.250030,20.281935,-0.617985,6.275846
0.020000,1.027355,18.104005,0.392273,3.655387,20.267859,-0.703811,6.274235
0.020000,1.108560,18.103206,0.473482,4.060427,20.251996,-0.793180,6.272477
0.020000,1.197856,18.102165,0.562784,4.465114,20.234316,-0.883980,6.270582
0.020000,1.295235,18.100839,0.660172,4.869411,20.214874,-0.972120,6.268563
0.020000,1.400688,18.099184,0.765638,5.273284,20.193618,-1.062757,6.266431
0.020000,1.514204,18.097155,0.879172,5.676695,20.170555,-1.153152,6.264200
0.020000,1.635771,18.094705,1.000764,6.079609,20.145718,-1.241876,6.261884
0.020000,1.764973,18.091798,1.129999,6.461739,19.106479,-51.961951,6.259506
0.020000,1.900988,18.088411,1.266056,6.802846,17.055365,-102.555689,6.257096
0.020000,2.042995,18.084533,1.408115,7.102982,15.006815,-102.427488,6.254682
0.020000,2.190174,18.080159,1.555359,7.362209,12.961320,-102.274785,6.252291
0.020000,2.341708,18.075297,1.706971,7.580594,10.919275,-102.102227,6.249946
0.020000,2.496781,18.069962,1.862136,7.758216,8.881078,-101.909850,6.247671
0.020000,2.654578,18.064181,2.020039,7.895156,6.847011,-101.703358,6.245484
0.020000,2.814288,18.057989,2.179869,7.991502,4.817326,-101.484234,6.243404
0.020000,2.975101,18.051428,2.340816,8.047346,2.792199,-101.256374,6.241445
0.020000,3.136210,18.044551,2.502071,8.062781,0.771752,-101.022363,6.239618
0.020000,3.297212,18.037394,2.663232,8.058041,-0.236999,-50.437520,6.237930
0.020000,3.458107,18.029981,2.824298,8.053301,-0.237002,-0.000137,6.236379
0.020000,3.618897,18.022334,2.985269,8.048562,-0.236995,0.000348,6.234967
0.020000,3.779581,18.014475,3.146146,8.043822,-0.236981,0.000691,6.233692
0.020000,3.940161,18.006427,3.306928,8.039083,-0.236961,0.000982,6.232555
0.020000,4.100638,17.998213,3.467614,8.034344,-0.236939,0.001118,6.231556
0.020000,4.261012,17.989855,3.628207,8.029606,-0.236915,0.001180,6.230694
0.020000,4.421285,17.981374,3.788704,8.024868,-0.236892,0.001164,6.229971
0.020000,4.581458,17.972794,3.949106,8.020130,-0.236870,0.001081,6.229385
0.020000,4.741532,17.964136,4.109414,8.015393,-0.236851,0.000942,6.228938
0.020000,4.901508,17.955422,4.269627,8.010657,-0.236836,0.000756,6.228628
0.020000,5.061388,17.946675,4.429746,8.005920,-0.236826,0.000536,6.228455
0.020000,5.221171,17.937917,4.589770,8.001184,-0.236820,0.000291,6.228421
0.020000,5.380861,17.929169,4.749698,7.996447,-0.236819,0.000033,6.228524
0.020000,5.540457,17.920454,4.909533,7.991711,-0.236824,-0.000228,6.228765
0.020000,5.699962,17.911794,5.069272,7.986974,-0.236833,-0.000481,6.229144
0.020000,5.859376,17.903210,5.228917,7.982237,-0.236848,-0.000714,6.229661
0.020000,6.018700,17.894725,5.388467,7.977500,-0.236866,-0.000919,6.230316
0.020000,6.177936,17.886360,5.547922,7.972762,-0.236888,-0.001082,6.231108
0.020000,6.337084,17.878136,5.707283,7.968024,-0.236912,-0.001195,6.232038
0.020000,6.496145,17.870077,5.866548,7.963285,-0.236936,-0.001245,6.233106
0.020000,6.655122,17.862203,6.025719,7.958546,-0.236961,-0.001223,6.234312
0.020000,6.814013,17.854537,6.184795,7.953806,-0.236983,-0.001116,6.235656
0.020000,6.972820,17.847099,6.343777,7.949066,-0.237002,-0.000915,6.237138
0.020000,7.131544,17.839912,6.502663,7.944326,-0.237014,-0.000609,6.238757
0.020000,7.290185,17.832997,6.661455,7.939586,-0.237017,-0.000187,6.240515
0.020000,7.448744,17.826376,6.820152,7.934845,-0.237010,0.000363,6.242410
0.020000,7.607220,17.820070,6.978754,7.930106,-0.236989,0.001051,6.244443
0.020000,7.765615,17.814101,7.137261,7.925367,-0.236951,0.001887,6.246614
