dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.635621,17.418283,0.000400,0.040000,2.000000,100.000000,0.000194
0.020000,0.635621,17.418283,0.002000,0.120000,4.000000,100.000000,0.000156
0.020000,0.635621,17.418283,0.005600,0.240000,6.000000,100.000000,0.000068
0.020000,0.639207,17.418283,0.012000,0.400000,8.000000,100.000000,6.283098
0.020000,0.649207,17.418281,0.022000,0.600000,10.000000,100.000000,6.282857
0.020000,0.663607,17.418274,0.036400,0.840000,12.000000,100.000000,6.282509
0.020000,0.683207,17.418256,0.056000,1.120000,14.000000,100.000000,6.282038
0.020000,0.708807,17.418219,0.081600,1.440000,16.000000,100.000000,6.281426
0.020000,0.741207,17.418149,0.114000,1.800000,18.000000,100.000000,6.280656
0.020000,0.781207,17.418029,0.154000,2.200000,20.000000,100.000000,6.279713
0.020000,0.829206,17.417835,0.202000,2.600000,20.000000,-0.000000,6.278593
0.020000,0.885206,17.417542,0.258000,3.000000,20.000000,0.000000,6.277301
0.020000,0.949204,17.417119,0.322000,3.400000,20.000000,0.000000,6.275846
0.020000,1.021202,17.416532,0.394000,3.800000,20.000000,0.000000,6.274235
0.020000,1.101198,17.415746,0.474000,4.200000,20.000000,0.000000,6.272477
0.020000,1.189192,17.414720,0.562000,4.600000,20.000000,-0.000000,6.270582
0.020000,1.285183,17.413412,0.658000,5.000000,20.000000,0.000000,6.268563
0.020000,1.389170,17.411780,0.762000,5.400000,20.000000,0.000000,6.266431
0.020000,1.501152,17.409779,0.874000,5.800000,20.000000,-0.000000,6.264200
0.020000,1.621128,17.407361,0.994000,6.200000,20.000000,0.000000,6.261884
0.020000,1.748696,17.404490,1.121600,6.560000,18.000000,-100.000000,6.259506
0.020000,1.883054,17.401145,1.256000,6.880000,16.000000,-100.000000,6.257096
0.020000,2.023402,17.397312,1.396400,7.160000,14.000000,-100.000000,6.254682
0.020000,2.168937,17.392987,1.542000,7.400000,12.000000,-100.000000,6.252291
0.020000,2.318860,17.388176,1.692000,7.600000,10.000000,-100.000000,6.249946
0.020000,2.472369,17.382896,1.845600,7.760000,8.000000,-100.000000,6.247671
0.020000,2.628664,17.377170,2.002000,7.880000,6.000000,-100.000000,6.245484
0.020000,2.786945,17.371033,2.160400,7.960000,4.000000,-100.000000,6.243404
0.020000,2.946413,17.364527,2.320000,8.000000,2.000000,-100.000000,6.241445
