dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.635755,16.730783,0.000400,0.040000,2.000000,100.000000,0.000194
0.020000,0.635728,16.730783,0.000427,0.001335,-1.933242,-196.662095,0.000156
0.020000,0.635668,16.730783,0.000487,0.003002,0.083362,100.830194,0.000068
0.020000,0.639147,16.730783,0.003966,0.173964,8.548062,423.235013,6.283098
0.020000,0.648981,16.730781,0.013800,0.491684,15.886021,366.897939,6.282857
0.020000,0.663142,16.730774,0.027961,0.708057,10.818650,-253.368558,6.282509
0.020000,0.682418,16.730756,0.047237,0.963805,12.787403,98.437663,6.282038
0.020000,0.707597,16.730720,0.072416,1.258953,14.757393,98.499477,6.281426
0.020000,0.739468,16.730651,0.104287,1.593534,16.729044,98.582577,6.280656
0.020000,0.778820,16.730533,0.143638,1.967590,18.702804,98.687975,6.279713
0.020000,0.826049,16.730343,0.190868,2.361493,19.695176,49.618614,6.278593
0.020000,0.881161,16.730054,0.245981,2.755609,19.705756,0.528985,6.277301
0.020000,0.944159,16.729637,0.308980,3.149969,19.718023,0.613347,6.275846
0.020000,1.015048,16.729060,0.379872,3.544612,19.732126,0.705171,6.274235
0.020000,1.093836,16.728285,0.458664,3.939572,19.748008,0.794120,6.272477
0.020000,1.180528,16.727274,0.545361,4.334885,19.765653,0.882206,6.270582
0.020000,1.275131,16.725986,0.639973,4.730587,19.785119,0.973344,6.268563
0.020000,1.377652,16.724377,0.742507,5.126715,19.806368,1.062449,6.266431
0.020000,1.488101,16.722402,0.852973,5.523303,19.829410,1.152076,6.264200
0.020000,1.606485,16.720017,0.971381,5.920388,19.854280,1.243497,6.261884
0.020000,1.732418,16.717183,1.097346,6.298258,18.893505,-48.038748,6.259506
0.020000,1.865120,16.713879,1.230089,6.637151,16.944618,-97.444362,6.257096
0.020000,2.003808,16.710091,1.368830,6.937014,14.993172,-97.572309,6.254682
0.020000,2.147701,16.705815,1.512785,7.197788,13.038689,-97.724114,6.252291
0.020000,2.296012,16.701056,1.661173,7.419402,11.080720,-97.898468,6.249946
0.020000,2.447958,16.695829,1.813209,7.601781,9.118931,-98.089461,6.247671
0.020000,2.602751,16.690158,1.968106,7.744841,7.152998,-98.296658,6.245484
0.020000,2.759603,16.684077,2.125076,7.848495,5.182688,-98.515456,6.243404
0.020000,2.917725,16.677626,2.283329,7.912651,3.207816,-98.743598,6.241445
0.020000,3.076324,16.670855,2.442073,7.937216,1.228265,-98.977550,6.239618
