dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.517550,17.418283,0.000400,0.040000,2.000000,100.000000,0.000384
0.020000,1.517550,17.418283,0.002000,0.120000,4.000000,100.000000,0.000312
0.020000,1.517550,17.418283,0.005600,0.240000,6.000000,100.000000,0.000152
0.020000,1.520539,17.418283,0.012000,0.400000,8.000000,100.000000,6.283052
0.020000,1.530539,17.418279,0.022000,0.600000,10.000000,100.000000,6.282609
0.020000,1.544939,17.418267,0.036400,0.840000,12.000000,100.000000,6.281973
0.020000,1.564539,17.418234,0.056000,1.120000,14.000000,100.000000,6.281114
0.020000,1.590139,17.418167,0.081600,1.440000,16.000000,100.000000,6.280001
0.020000,1.622539,17.418041,0.114000,1.800000,18.000000,100.000000,6.278608
0.020000,1.662538,17.417824,0.154000,2.200000,20.000000,100.000000,6.276913
0.020000,1.710537,17.417475,0.202000,2.600000,20.000000,-0.000000,6.274915
0.020000,1.766535,17.416948,0.258000,3.000000,20.000000,0.000000,6.272633
0.020000,1.830530,17.416191,0.322000,3.400000,20.000000,0.000000,6.270089
0.020000,1.902522,17.415147,0.394000,3.800000,20.000000,0.000000,6.267311
0.020000,1.982510,17.413757,0.474000,4.200000,20.000000,0.000000,6.264325
0.020000,2.070492,17.411958,0.562000,4.600000,20.000000,-0.000000,6.261166
0.020000,2.166465,17.409685,0.658000,5.000000,20.000000,0.000000,6.257869
0.020000,2.270427,17.406874,0.762000,5.400000,20.000000,0.000000,6.254471
0.020000,2.382375,17.403463,0.874000,5.800000,20.000000,-0.000000,6.251016
0.020000,2.502306,17.399393,0.994000,6.200000,20.000000,0.000000,6.247547
0.020000,2.629817,17.394625,1.121600,6.560000,18.000000,-100.000000,6.244123
0.020000,2.764105,17.389151,1.256000,6.880000,16.000000,-100.000000,6.240811
0.020000,2.904369,17.382979,1.396400,7.160000,14.000000,-100.000000,6.237673
0.020000,3.049809,17.376139,1.542000,7.400000,12.000000,-100.000000,6.234766
0.020000,3.199623,17.368678,1.692000,7.600000,10.000000,-100.000000,6.232140
0.020000,3.353013,17.360659,1.845600,7.760000,8.000000,-100.000000,6.229838
0.020000,3.509182,17.352163,2.002000,7.880000,6.000000,-100.000000,6.227895
0.020000,3.667333,17.343281,2.160400,7.960000,4.000000,-100.000000,6.226340
0.020000,3.826670,17.334116,2.320000,8.000000,2.000000,-100.000000,6.225193
0.020000,3.986397,17.324779,2.480000,8.000000,0.000000,-100.000000,6.224465
0.020000,4.146120,17.315359,2.640000,8.000000,0.000000,0.000000,6.224159
0.020000,4.305841,17.305924,2.800000,8.000000,0.000000,0.000000,6.224276
0.020000,4.465566,17.296541,2.960000,8.000000,0.000000,0.000000,6.224815
0.020000,4.625297,17.287278,3.120000,8.000000,0.000000,0.000000,6.225777
0.020000,4.785040,17.278203,3.280000,8.000000,0.000000,0.000000,6.227161
0.020000,4.944796,17.269383,3.440000,8.000000,0.000000,0.000000,6.228969
0.020000,5.104571,17.260885,3.600000,8.000000,0.000000,0.000000,6.231201
0.020000,5.264365,17.252778,3.760000,8.000000,0.000000,0.000000,6.233857
0.020000,5.424182,17.245129,3.920000,8.000000,0.000000,0.000000,6.236939
