dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.872685,22.608263,0.000400,0.040000,2.000000,100.000000,6.283159
0.020000,9.872683,22.608263,0.000402,0.000082,-1.995893,-199.794669,6.283161
0.020000,9.872680,22.608263,0.000405,0.000185,0.005130,100.051172,6.283167
0.020000,9.872673,22.608263,0.000412,0.000328,0.007173,0.102152,6.283176
0.020000,9.876514,22.608263,0.004252,0.192023,9.584756,478.879161,0.000006
0.020000,9.890899,22.608263,0.018638,0.719264,26.362012,838.862799,0.000027
0.020000,9.910479,22.608264,0.038218,0.979000,12.986818,-668.759709,0.000056
0.020000,9.936053,22.608266,0.063792,1.278698,14.984892,99.903668,0.000094
0.020000,9.968420,22.608270,0.096159,1.618358,16.983027,99.906761,0.000142
0.020000,10.008380,22.608276,0.136118,1.997983,18.981243,99.910792,0.000201
0.020000,10.056332,22.608288,0.184070,2.397594,19.980556,49.965674,0.000271
0.020000,10.112276,22.608305,0.240015,2.797213,19.980952,0.019795,0.000352
0.020000,10.176213,22.608331,0.303951,3.196842,19.981413,0.023047,0.000443
0.020000,10.248142,22.608366,0.375881,3.596480,19.981940,0.026360,0.000546
0.020000,10.328065,22.608414,0.455804,3.996131,19.982533,0.029647,0.000658
0.020000,10.415981,22.608478,0.543720,4.395795,19.983192,0.032957,0.000781
0.020000,10.511890,22.608559,0.639629,4.795473,19.983917,0.036252,0.000912
0.020000,10.615793,22.608661,0.743532,5.195167,19.984707,0.039512,0.001053
0.020000,10.727691,22.608787,0.855430,5.594879,19.985565,0.042861,0.001202
0.020000,10.847583,22.608941,0.975322,5.994608,19.986487,0.046113,0.001359
0.020000,10.975070,22.609124,1.102810,6.374375,18.988348,-49.906933,0.001523
0.020000,11.109354,22.609340,1.237094,6.714196,16.991056,-99.864636,0.001691
0.020000,11.249635,22.609590,1.377375,7.014070,14.993667,-99.869443,0.001864
0.020000,11.395115,22.609873,1.522855,7.273993,12.996164,-99.875117,0.002039
0.020000,11.544994,22.610192,1.672734,7.493964,10.998533,-99.881571,0.002214
0.020000,11.698473,22.610546,1.826214,7.673979,9.000759,-99.888682,0.002389
0.020000,11.854753,22.610933,1.982494,7.814036,7.002833,-99.896336,0.002563
0.020000,12.013035,22.611352,2.140777,7.914130,5.004744,-99.904434,0.002734
0.020000,12.172520,22.611801,2.300262,7.974260,3.006487,-99.912864,0.002901
0.020000,12.332408,22.612278,2.460151,7.994421,1.008056,-99.921509,0.003063
0.020000,12.492299,22.612780,2.620043,7.994597,0.008787,-49.963485,0.003220
0.020000,12.652193,22.613307,2.779938,7.994773,0.008787,0.000001,0.003372
0.020000,12.812091,22.613858,2.939837,7.994949,0.008787,0.000001,0.003519
0.020000,12.971993,22.614433,3.099739,7.995124,0.008787,-0.000003,0.003661
0.020000,13.131898,22.615029,3.259645,7.995300,0.008787,-0.000001,0.003798
0.020000,13.291806,22.615647,3.419555,7.995476,0.008787,0.000004,0.003929
0.020000,13.451718,22.616285,3.579468,7.995651,0.008787,0.000000,0.004056
0.020000,13.611633,22.616944,3.739385,7.995827,0.008787,-0.000000,0.004177
0.020000,13.771552,22.617621,3.899305,7.996003,0.008787,-0.000001,0.004293
0.020000,13.931474,22.618317,4.059228,7.996179,0.008787,-0.000009,0.004405
0.020000,14.091399,22.619030,4.219155,7.996354,0.008787,0.000008,0.004511
0.020000,14.251328,22.619759,4.379086,7.996530,0.008787,-0.000001,0.004612
0.020000,14.411261,22.620504,4.539020,7.996706,0.008787,-0.000001,0.004707
0.020000,14.571196,22.621265,4.698958,7.996882,0.008787,-0.000001,0.004798
0.020000,14.731136,22.622039,4.858899,7.997057,0.008787,-0.000007,0.004884
0.020000,14.891078,22.622827,5.018843,7.997233,0.008787,0.000002,0.004964
0.020000,15.051025,22.623627,5.178792,7.997409,0.008787,0.000003,0.005040
0.020000,15.210974,22.624438,5.338743,7.997585,0.008787,-0.000001,0.005110
