dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.872649,21.233263,0.000400,0.040000,2.000000,100.000000,6.283159
0.020000,9.872650,21.233263,0.000402,0.000082,-1.995893,-199.794669,6.283161
0.020000,9.872654,21.233263,0.000405,0.000185,0.005130,100.051172,6.283167
0.020000,9.872661,21.233263,0.000412,0.000328,0.007173,0.102152,6.283176
0.020000,9.876522,21.233263,0.004273,0.193048,9.635981,481.440381,0.000006
0.020000,9.890936,21.233263,0.018688,0.720736,26.384430,837.422487,0.000027
0.020000,9.910556,21.233264,0.038308,0.981000,13.013183,-668.562394,0.000056
0.020000,9.936182,21.233266,0.063934,1.281302,15.015109,100.096310,0.000094
0.020000,9.968615,21.233270,0.096366,1.621642,17.016973,100.093191,0.000142
0.020000,10.008655,21.233276,0.136407,2.002017,19.018758,100.089255,0.000201
0.020000,10.056704,21.233288,0.184455,2.402406,20.019443,50.034286,0.000271
0.020000,10.112759,21.233305,0.240511,2.802787,20.019049,-0.019742,0.000352
0.020000,10.176823,21.233331,0.304574,3.203158,20.018587,-0.023079,0.000443
0.020000,10.248893,21.233366,0.376644,3.603520,20.018060,-0.026357,0.000546
0.020000,10.328970,21.233415,0.456722,4.003869,20.017467,-0.029660,0.000658
0.020000,10.417054,21.233478,0.544806,4.404205,20.016808,-0.032939,0.000781
0.020000,10.513145,21.233559,0.640896,4.804527,20.016083,-0.036235,0.000912
0.020000,10.617241,21.233662,0.744993,5.204833,20.015292,-0.039565,0.001053
0.020000,10.729344,21.233788,0.857095,5.605121,20.014436,-0.042807,0.001202
0.020000,10.849452,21.233942,0.977203,6.005392,20.013513,-0.046145,0.001359
0.020000,10.977164,21.234126,1.104916,6.385625,19.011652,-50.093064,0.001523
0.020000,11.111680,21.234342,1.239432,6.725804,17.008944,-100.135358,0.001691
0.020000,11.252198,21.234592,1.379950,7.025930,15.006333,-100.130561,0.001864
0.020000,11.397918,21.234876,1.525670,7.286007,13.003836,-100.124874,0.002039
0.020000,11.548038,21.235196,1.675791,7.506036,11.001467,-100.118429,0.002214
0.020000,11.701758,21.235549,1.829512,7.686021,8.999241,-100.111323,0.002389
0.020000,11.858277,21.235937,1.986031,7.825964,6.997167,-100.103660,0.002563
0.020000,12.016794,21.236357,2.144548,7.925870,4.995256,-100.095563,0.002734
0.020000,12.176508,21.236807,2.304263,7.985740,2.993513,-100.087139,0.002901
0.020000,12.336619,21.237284,2.464375,8.005579,0.991944,-100.078490,0.003063
0.020000,12.496726,21.237787,2.624483,8.005403,-0.008787,-50.036512,0.003220
0.020000,12.656830,21.238315,2.784587,8.005227,-0.008787,-0.000000,0.003372
0.020000,12.816930,21.238867,2.944688,8.005051,-0.008787,0.000000,0.003519
0.020000,12.977027,21.239442,3.104786,8.004876,-0.008787,-0.000004,0.003661
0.020000,13.137119,21.240039,3.264880,8.004700,-0.008787,-0.000001,0.003798
0.020000,13.297209,21.240657,3.424970,8.004524,-0.008787,0.000004,0.003929
0.020000,13.457294,21.241297,3.585057,8.004349,-0.008787,0.000000,0.004056
0.020000,13.617377,21.241956,3.745141,8.004173,-0.008787,0.000000,0.004177
0.020000,13.777455,21.242634,3.905221,8.003997,-0.008787,-0.000000,0.004293
0.020000,13.937530,21.243330,4.065297,8.003821,-0.008787,-0.000008,0.004405
0.020000,14.097601,21.244044,4.225370,8.003646,-0.008787,0.000009,0.004511
0.020000,14.257669,21.244774,4.385439,8.003470,-0.008787,0.000001,0.004612
0.020000,14.417733,21.245520,4.545505,8.003294,-0.008787,0.000001,0.004707
0.020000,14.577794,21.246280,4.705568,8.003118,-0.008787,0.000001,0.004798
0.020000,14.737851,21.247055,4.865626,8.002943,-0.008787,-0.000005,0.004884
0.020000,14.897904,21.247844,5.025682,8.002767,-0.008787,0.000003,0.004964
0.020000,15.057954,21.248644,5.185734,8.002591,-0.008787,0.000004,0.005040
0.020000,15.218000,21.249456,5.345782,8.002415,-0.008787,0.000000,0.005110
0.020000,15.378043,21.250279,5.505827,8.002240,-0.008787,0.000000,0.005175
0.020000,15.538082,21.251113,5.665868,8.002064,-0.008787,-0.000001,0.005235
0.020000,15.698118,21.251955,5.825906,8.001888,-0.008787,-0.000003,0.005290
0.020000,15.858150,21.252805,5.985940,8.001713,-0.008787,0.000006,0.005340
0.020000,16.018178,21.253664,6.145971,8.001537,-0.008787,0.000000,0.005385
0.020000,16.178203,21.254529,6.305998,8.001361,-0.008787,0.000000,0.005424
0.020000,16.338224,21.255399,6.466022,8.001185,-0.008787,0.000000,0.005459
0.020000,16.498242,21.256275,6.626042,8.001010,-0.008787,-0.000003,0.005488
0.020000,16.658256,21.257155,6.786059,8.000834,-0.008787,0.000003,0.005512
0.020000,16.818267,21.258039,6.946072,8.000658,-0.008786,0.000001,0.005531
0.020000,16.978274,21.258925,7.106081,8.000482,-0.008786,-0.000000,0.005545
0.020000,17.138278,21.259813,7.266088,8.000307,-0.008786,-0.000000,0.005554
0.020000,17.298278,21.260702,7.426090,8.000131,-0.008787,-0.000000,0.005558
0.020000,17.458275,21.261592,7.586089,7.999955,-0.008786,0.000001,0.005557
0.020000,17.618268,21.262480,7.746085,7.999779,-0.008786,0.000000,0.005550
0.020000,17.778257,21.263367,7.906077,7.999604,-0.008787,-0.000001,0.005539
0.020000,17.938243,21.264252,8.066065,7.999428,-0.008787,-0.000001,0.005522
0.020000,18.098226,21.265134,8.226050,7.999252,-0.008787,-0.000001,0.005500
0.020000,18.258205,21.266012,8.386032,7.999077,-0.008786,0.000003,0.005474
0.020000,18.418181,21.266885,8.546010,7.998901,-0.008787,-0.000003,0.005442
0.020000,18.578153,21.267753,8.705985,7.998725,-0.008787,-0.000001,0.005405
0.020000,18.738122,21.268614,8.865956,7.998549,-0.008787,-0.000001,0.005362
0.020000,18.898087,21.269468,9.025923,7.998374,-0.008787,-0.000001,0.005315
0.020000,19.058049,21.270314,9.185887,7.998198,-0.008787,0.000003,0.005263
0.020000,19.218007,21.271152,9.345847,7.998022,-0.008787,-0.000000,0.005205
0.020000,19.377962,21.271979,9.505804,7.997846,-0.008787,-0.000004,0.005142
0.020000,19.537913,21.272796,9.665758,7.997671,-0.008787,-0.000001,0.005075
0.020000,19.697861,21.273602,9.825708,7.997495,-0.008787,-0.000001,0.005002
0.020000,19.857805,21.274396,9.985654,7.997319,-0.008787,-0.000000,0.004924
0.020000,20.017746,21.275177,10.145597,7.997144,-0.008787,0.000007,0.004841
0.020000,20.177684,21.275944,10.305536,7.996968,-0.008787,-0.000009,0.004753
0.020000,20.337618,21.276697,10.465472,7.996792,-0.008787,-0.000001,0.004659
0.020000,20.497548,21.277434,10.625404,7.996616,-0.008787,-0.000001,0.004561
0.020000,20.657476,21.278156,10.785333,7.996441,-0.008787,-0.000001,0.004457
0.020000,20.817399,21.278860,10.945259,7.996265,-0.008787,0.000006,0.004349
0.020000,20.977320,21.279546,11.105180,7.996089,-0.008787,-0.000003,0.004235
0.020000,21.137236,21.280214,11.265099,7.995913,-0.008787,-0.000004,0.004116
0.020000,21.297150,21.280862,11.425013,7.995738,-0.008787,-0.000000,0.003992
0.020000,21.457060,21.281490,11.584925,7.995562,-0.008787,-0.000000,0.003863
0.020000,21.616966,21.282097,11.744832,7.995386,-0.008787,0.000002,0.003729
0.020000,21.776870,21.282683,11.904737,7.995210,-0.008787,0.000004,0.003589
0.020000,21.936769,21.283245,12.064637,7.995035,-0.008787,-0.000006,0.003445
0.020000,22.096666,21.283784,12.224534,7.994859,-0.008787,0.000000,0.003295
0.020000,22.256558,21.284299,12.384428,7.994683,-0.008787,0.000001,0.003141
0.020000,22.416448,21.284788,12.544318,7.994507,-0.008787,0.000001,0.002981
0.020000,22.576334,21.285251,12.704205,7.994332,-0.008787,0.000003,0.002816
0.020000,22.736216,21.285688,12.864088,7.994156,-0.008787,-0.000002,0.002646
0.020000,22.896095,21.286097,13.023968,7.993980,-0.008787,0.000001,0.002471
0.020000,23.055971,21.286478,13.183844,7.993805,-0.008787,0.000002,0.002291
0.020000,23.215843,21.286829,13.343716,7.993629,-0.008787,0.000003,0.002105
0.020000,23.375712,21.287151,13.503585,7.993453,-0.008787,0.000001,0.001915
0.020000,23.535577,21.287441,13.663451,7.993277,-0.008787,-0.000001,0.001719
0.020000,23.695439,21.287700,13.823313,7.993102,-0.008787,0.000006,0.001518
0.020000,23.855297,21.287927,13.983171,7.992926,-0.008786,0.000004,0.001313
0.020000,24.015152,21.288120,14.143026,7.992750,-0.008786,0.000005,0.001102
0.020000,24.175004,21.288279,14.302878,7.992574,-0.008786,0.000005,0.000886
0.020000,24.334852,21.288403,14.462726,7.992399,-0.008786,-0.000013,0.000665
0.020000,24.494696,21.288491,14.622570,7.992223,-0.008786,0.000018,0.000438
0.020000,24.654537,21.288542,14.782411,7.992047,-0.008786,0.000008,0.000207
0.020000,24.814374,21.288557,14.942249,7.991872,-0.008786,0.000007,6.283156
0.020000,24.974208,21.288533,15.102083,7.991696,-0.008786,0.000008,6.282914
0.020000,25.134039,21.288470,15.261913,7.991520,-0.008786,-0.000010,6.282668
0.020000,25.293866,21.288367,15.421740,7.991344,-0.008786,0.000004,6.282416
0.020000,25.453689,21.288224,15.581563,7.991169,-0.008785,0.000026,6.282159
0.020000,25.613509,21.288039,15.741383,7.990993,-0.008785,0.000010,6.281897
0.020000,25.773144,21.287812,15.901018,7.981760,-0.461640,-22.642752,6.281630
0.020000,25.932013,21.287543,16.059888,7.943495,-1.913275,-72.581747,6.281359
0.020000,26.089319,21.287235,16.217194,7.865280,-3.910746,-99.873550,6.281087
0.020000,26.244261,21.286888,16.372136,7.747119,-5.908044,-99.864878,6.280813
0.020000,26.396041,21.286508,16.523917,7.589015,-7.905179,-99.856768,6.280540
0.020000,26.543859,21.286097,16.671736,7.390972,-9.902153,-99.848704,6.280270
0.020000,26.686919,21.285661,16.814796,7.152993,-11.898981,-99.841401,6.280004
0.020000,26.824419,21.285205,16.952297,6.875079,-13.895671,-99.834503,6.279745
0.020000,26.955563,21.284738,17.083442,6.557234,-15.892242,-99.828525,6.279495
0.020000,27.079552,21.284266,17.207431,6.199460,-17.888703,-99.823063,6.279255
0.020000,27.195767,21.283795,17.323648,5.810814,-19.432314,-77.180533,6.279027
0.020000,27.303991,21.283334,17.431873,5.411269,-19.977252,-27.246900,6.278812
0.020000,27.404225,21.282885,17.532108,5.011742,-19.976359,0.044643,6.278611
0.020000,27.496469,21.282455,17.624352,4.612231,-19.975534,0.041239,6.278424
0.020000,27.580722,21.282047,17.708607,4.212736,-19.974772,0.038118,6.278252
0.020000,27.656987,21.281664,17.784872,3.813254,-19.974078,0.034677,6.278096
0.020000,27.725261,21.281312,17.853148,3.413785,-19.973449,0.031435,6.277954
0.020000,27.785547,21.280993,17.913434,3.014327,-19.972886,0.028168,6.277828
0.020000,27.837844,21.280710,17.965732,2.614880,-19.972388,0.024887,6.277719
0.020000,27.882152,21.280466,18.010041,2.215441,-19.971960,0.021424,6.277626
0.020000,27.918653,21.280261,18.046542,1.825063,-19.518870,22.654505,6.277548
0.020000,27.947927,21.280095,18.075816,1.463717,-18.067314,72.577797,6.277486
0.020000,27.970773,21.279965,18.098663,1.142316,-16.070019,99.864711,6.277438
0.020000,27.987990,21.279865,18.115880,0.860861,-14.072791,99.861403,6.277401
0.020000,28.000376,21.279793,18.128267,0.619348,-12.075621,99.858541,6.277375
0.020000,28.008732,21.279745,18.136623,0.417778,-10.078495,99.856278,6.277357
0.020000,28.013855,21.279715,18.141746,0.256151,-8.081388,99.855330,6.277346
0.020000,28.016544,21.279699,18.144435,0.134464,-6.084307,99.854056,6.277340
0.020000,28.017598,21.279693,18.145489,0.052720,-4.087235,99.853593,6.277338
0.020000,28.017817,21.279692,18.145708,0.010916,-2.090168,99.853374,6.277337
0.020000,28.017817,21.279692,18.145708,0.000000,-0.545817,77.217527,6.277337
