dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000673,0.687500,0.000400,0.040000,2.000000,100.000000,6.282206
0.020000,0.000618,0.687500,0.000455,0.002745,-1.862758,-193.137913,6.282286
0.020000,0.000495,0.687500,0.000578,0.006177,0.171632,101.719537,6.282466
0.020000,0.000275,0.687500,0.000798,0.010988,0.240510,3.443883,6.282785
0.020000,0.001932,0.687500,0.002455,0.082861,3.593662,167.657604,0.000100
0.020000,0.015837,0.687506,0.016360,0.695243,30.619122,1351.272973,0.000821
0.020000,0.034761,0.687531,0.035284,0.946185,12.547090,-903.601601,0.001805
0.020000,0.059473,0.687592,0.059997,1.235637,14.472583,96.274692,0.003094
0.020000,0.090747,0.687714,0.091271,1.563718,16.404084,96.575005,0.004733
0.020000,0.129348,0.687936,0.129872,1.930058,18.316956,95.643638,0.006768
0.020000,0.175656,0.688306,0.176182,2.315475,19.270847,47.694508,0.009226
0.020000,0.229665,0.688883,0.230194,2.700607,19.256629,-0.710891,0.012116
0.020000,0.291369,0.689733,0.291904,3.085487,19.244000,-0.631418,0.015449
0.020000,0.360753,0.690936,0.361298,3.469727,19.211972,-1.601400,0.019238
0.020000,0.437807,0.692583,0.438369,3.853560,19.191667,-1.015288,0.023497
0.020000,0.522518,0.694774,0.523109,4.236963,19.170174,-1.074621,0.028243
0.020000,0.614863,0.697625,0.615498,4.619491,19.126360,-2.190722,0.033494
0.020000,0.714824,0.701262,0.715526,5.001363,19.093605,-1.637717,0.039271
0.020000,0.822378,0.705828,0.823177,5.382541,19.058912,-1.734666,0.045597
0.020000,0.937493,0.711478,0.938429,5.762639,19.004927,-2.699242,0.052500
0.020000,1.059755,0.718359,1.060885,6.122807,18.008395,-49.826634,0.059984
0.020000,1.188358,0.726600,1.189752,6.443344,16.026854,-99.077026,0.068030
0.020000,1.322501,0.736317,1.324246,6.724681,14.066811,-98.002157,0.076621
0.020000,1.461375,0.747613,1.463579,6.966632,12.097582,-98.461454,0.085736
0.020000,1.604178,0.760575,1.606969,7.169514,10.144084,-97.674885,0.095350
0.020000,1.750103,0.775271,1.753633,7.333189,8.183769,-98.015734,0.105438
0.020000,1.898349,0.791747,1.902791,7.457930,6.237027,-97.337111,0.115970
0.020000,2.048114,0.810021,2.053667,7.543790,4.293007,-97.201032,0.126912
0.020000,2.198604,0.830085,2.205488,7.591052,2.363080,-96.496333,0.138226
0.020000,2.349027,0.851899,2.357485,7.599827,0.438762,-96.215896,0.149866
0.020000,2.498973,0.875454,2.509270,7.589254,-0.528635,-48.369825,0.161815
0.020000,2.648408,0.900785,2.660837,7.578364,-0.544522,-0.794370,0.174079
0.020000,2.797297,0.927932,2.812180,7.567144,-0.560979,-0.822873,0.186668
0.020000,2.945604,0.956931,2.963295,7.555771,-0.568650,-0.383521,0.199591
0.020000,3.093288,0.987821,3.114176,7.544022,-0.587470,-0.941029,0.212854
0.020000,3.240310,1.020641,3.264816,7.532011,-0.600530,-0.652975,0.226466
0.020000,3.386625,1.055428,3.415210,7.519709,-0.615094,-0.728217,0.240435
0.020000,3.532193,1.092221,3.565356,7.507278,-0.621550,-0.322792,0.254769
0.020000,3.676964,1.131057,3.715245,7.494475,-0.640169,-0.930939,0.269473
0.020000,3.820891,1.171973,3.864875,7.481489,-0.649271,-0.455085,0.284554
0.020000,3.963924,1.215007,4.014242,7.468328,-0.658076,-0.440249,0.300019
0.020000,4.106012,1.260194,4.163342,7.455002,-0.666300,-0.411213,0.315871
0.020000,4.247101,1.307570,4.312172,7.441529,-0.673633,-0.366642,0.332115
0.020000,4.387135,1.357169,4.460731,7.427935,-0.679739,-0.305318,0.348754
0.020000,4.526058,1.409022,4.609016,7.414249,-0.684263,-0.226190,0.365790
0.020000,4.663815,1.463162,4.757029,7.400677,-0.678627,0.281767,0.383223
0.020000,4.800342,1.519618,4.904769,7.386985,-0.684585,-0.297867,0.401053
0.020000,4.935581,1.578419,5.052238,7.373448,-0.676855,0.386502,0.419277
0.020000,5.069470,1.639588,5.199438,7.360000,-0.672392,0.223144,0.437892
0.020000,5.201947,1.703150,5.346375,7.346848,-0.657597,0.739752,0.456890
0.020000,5.332949,1.769126,5.493052,7.333868,-0.649004,0.429666,0.476265
0.020000,5.462412,1.837533,5.639478,7.321256,-0.630598,0.920258,0.496006
0.020000,5.590274,1.908388,5.785659,7.309076,-0.609004,1.079720,0.516101
0.020000,5.716473,1.981702,5.931607,7.297416,-0.583009,1.299757,0.536537
0.020000,5.840944,2.057484,6.077333,7.286288,-0.556400,1.330457,0.557295
0.020000,5.963627,2.135739,6.222849,7.275813,-0.523754,1.632282,0.578358
0.020000,6.084461,2.216470,6.368171,7.266084,-0.486465,1.864445,0.599705
0.020000,6.203387,2.299676,6.513314,7.257153,-0.446541,1.996224,0.621311
0.020000,6.320347,2.385350,6.658296,7.249089,-0.403189,2.167593,0.643151
0.020000,6.435286,2.473483,6.803135,7.241969,-0.355991,2.359907,0.665199
0.020000,6.548150,2.564063,6.947852,7.235858,-0.305547,2.522168,0.687424
0.020000,6.658889,2.657072,7.092469,7.230826,-0.251604,2.697160,0.709795
0.020000,6.767456,2.752490,7.237007,7.226902,-0.196218,2.769284,0.732281
0.020000,6.873804,2.850292,7.381489,7.224112,-0.139479,2.836978,0.754847
0.020000,6.977893,2.950449,7.525939,7.222504,-0.080398,2.954042,0.777461
0.020000,7.079683,3.052929,7.670381,7.222087,-0.020865,2.976643,0.800086
0.020000,7.179140,3.157696,7.814838,7.222861,0.038692,2.977847,0.822689
0.020000,7.276233,3.264710,7.959335,7.224828,0.098388,2.984821,0.845235
0.020000,7.370935,3.373930,8.103894,7.227945,0.155820,2.871568,0.867690
0.020000,7.463221,3.485309,8.248538,7.232211,0.213315,2.874785,0.890021
0.020000,7.553073,3.598798,8.393290,7.237582,0.268555,2.761993,0.912196
0.020000,7.640474,3.714346,8.538170,7.244003,0.321021,2.623290,0.934185
0.020000,7.725412,3.831898,8.683197,7.251387,0.369205,2.409187,0.955959
0.020000,7.807879,3.951399,8.828392,7.259709,0.416135,2.346513,0.977490
0.020000,7.887871,4.072791,8.973769,7.268897,0.459396,2.163073,0.998754
0.020000,7.965388,4.196014,9.119347,7.278866,0.498431,1.951739,1.019728
0.020000,8.040433,4.321007,9.265138,7.289539,0.533665,1.761690,1.040392
0.020000,8.113012,4.447708,9.411154,7.300841,0.565106,1.572031,1.060728
0.020000,8.183135,4.576055,9.557408,7.312698,0.592836,1.386539,1.080719
0.020000,8.250815,4.705984,9.703908,7.324998,0.614983,1.107312,1.100352
0.020000,8.316069,4.837432,9.850662,7.337674,0.633812,0.941483,1.119615
0.020000,8.378915,4.970337,9.997677,7.350740,0.653278,0.973284,1.138500
0.020000,8.439375,5.104636,10.144957,7.364028,0.664411,0.556648,1.156998
0.020000,8.497472,5.240266,10.292506,7.377448,0.671026,0.330732,1.175105
0.020000,8.553234,5.377166,10.440328,7.391073,0.681254,0.511416,1.192817
0.020000,8.606689,5.515277,10.588422,7.404724,0.682546,0.064604,1.210131
0.020000,8.657866,5.654538,10.736789,7.418338,0.680684,-0.093086,1.227049
0.020000,8.706798,5.794893,10.885429,7.432001,0.683129,0.122248,1.243570
0.020000,8.753517,5.936285,11.034340,7.445563,0.678099,-0.251493,1.259697
0.020000,8.798058,6.078661,11.183520,7.458994,0.671595,-0.325221,1.275433
0.020000,8.840456,6.221966,11.332965,7.472274,0.663966,-0.381439,1.290782
0.020000,8.880748,6.366150,11.482673,7.485385,0.655541,-0.421252,1.305750
0.020000,8.918971,6.511163,11.632640,7.498317,0.646623,-0.445920,1.320343
0.020000,8.955161,6.656960,11.782861,7.511054,0.636838,-0.489220,1.334567
0.020000,8.989357,6.803490,11.933328,7.523356,0.615108,-1.086525,1.348429
0.020000,9.021597,6.950714,12.084041,7.535673,0.615871,0.038151,1.361937
0.020000,9.051919,7.098587,12.234991,7.547493,0.590955,-1.245776,1.375097
0.020000,9.080361,7.247073,12.386176,7.559257,0.588206,-0.137478,1.387919
0.020000,9.106962,7.396128,12.537587,7.570520,0.563162,-1.252207,1.400411
0.020000,9.131759,7.545719,12.689219,7.581598,0.553932,-0.461485,1.412580
0.020000,9.154790,7.695810,12.841067,7.592411,0.540631,-0.665055,1.424436
0.020000,9.176072,7.846209,12.992964,7.594857,0.122306,-20.916221,1.435974
0.020000,9.195578,7.996345,13.144361,7.569866,-1.249571,-68.593865,1.447165
0.020000,9.213283,8.145424,13.294488,7.506349,-3.175849,-96.313913,1.457966
0.020000,9.229188,8.292648,13.442569,7.404030,-5.115947,-97.004888,1.468342
0.020000,9.243325,8.437217,13.587827,7.262901,-7.056463,-97.025777,1.478259
0.020000,9.255747,8.578324,13.729480,7.082645,-9.012783,-97.816019,1.487689
0.020000,9.266529,8.715165,13.866745,6.863289,-10.967777,-97.749697,1.496608
0.020000,9.275765,8.846937,13.998840,6.604740,-12.927489,-97.985593,1.504993
0.020000,9.283565,8.972833,14.124978,6.306863,-14.893846,-98.317872,1.512823
0.020000,9.290048,9.092048,14.244369,5.969566,-16.864824,-98.548893,1.520081
0.020000,9.295352,9.203945,14.356391,5.601120,-18.422293,-77.873464,1.526758
0.020000,9.299629,9.308268,14.460802,5.220529,-19.029570,-30.363854,1.532869
