dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000400,0.040000,2.000000,100.000000,6.282206
0.020000,0.000000,0.000000,0.002000,0.120000,4.000000,100.000000,6.282286
0.020000,0.000000,0.000000,0.005600,0.240000,6.000000,100.000000,6.282466
0.020000,0.000000,0.000000,0.012000,0.400000,8.000000,100.000000,6.282785
0.020000,0.002001,0.000000,0.022000,0.600000,10.000000,100.000000,0.000100
0.020000,0.016401,0.000007,0.036400,0.840000,12.000000,100.000000,0.000821
0.020000,0.036002,0.000032,0.056000,1.120000,14.000000,100.000000,0.001805
0.020000,0.061601,0.000095,0.081600,1.440000,16.000000,100.000000,0.003094
0.020000,0.094002,0.000222,0.114000,1.800000,18.000000,100.000000,0.004733
0.020000,0.134001,0.000452,0.154000,2.200000,20.000000,100.000000,0.006768
0.020000,0.181999,0.000836,0.202000,2.600000,20.000000,-0.000000,0.009226
0.020000,0.237994,0.001433,0.258000,3.000000,20.000000,0.000000,0.012116
0.020000,0.301990,0.002315,0.322000,3.400000,20.000000,0.000000,0.015449
0.020000,0.373978,0.003563,0.394000,3.800000,20.000000,0.000000,0.019238
0.020000,0.453959,0.005272,0.474000,4.200000,20.000000,0.000000,0.023497
0.020000,0.541932,0.007548,0.562000,4.600000,20.000000,-0.000000,0.028243
0.020000,0.637886,0.010510,0.658000,5.000000,20.000000,0.000000,0.033494
0.020000,0.741816,0.014293,0.762000,5.400000,20.000000,0.000000,0.039271
0.020000,0.853716,0.019043,0.874000,5.800000,20.000000,-0.000000,0.045597
0.020000,0.973570,0.024925,0.994000,6.200000,20.000000,0.000000,0.052500
0.020000,1.100969,0.032096,1.121600,6.560000,18.000000,-100.000000,0.059984
0.020000,1.235093,0.040691,1.256000,6.880000,16.000000,-100.000000,0.068030
0.020000,1.375126,0.050834,1.396400,7.160000,14.000000,-100.000000,0.076621
0.020000,1.520246,0.062638,1.542000,7.400000,12.000000,-100.000000,0.085736
0.020000,1.669632,0.076198,1.692000,7.600000,10.000000,-100.000000,0.095350
0.020000,1.822458,0.091589,1.845600,7.760000,8.000000,-100.000000,0.105438
0.020000,1.977900,0.108865,2.002000,7.880000,6.000000,-100.000000,0.115970
0.020000,2.135132,0.128050,2.160400,7.960000,4.000000,-100.000000,0.126912
0.020000,2.293331,0.149142,2.320000,8.000000,2.000000,-100.000000,0.138226
0.020000,2.451674,0.172106,2.480000,8.000000,0.000000,-100.000000,0.149866
0.020000,2.609736,0.196935,2.640000,8.000000,0.000000,0.000000,0.161815
0.020000,2.767484,0.223676,2.800000,8.000000,0.000000,0.000000,0.174079
0.020000,2.924887,0.252375,2.960000,8.000000,0.000000,0.000000,0.186668
0.020000,3.081913,0.283079,3.120000,8.000000,0.000000,0.000000,0.199591
0.020000,3.238523,0.315837,3.280000,8.000000,0.000000,0.000000,0.212854
0.020000,3.394678,0.350696,3.440000,8.000000,0.000000,0.000000,0.226466
0.020000,3.550337,0.387704,3.600000,8.000000,0.000000,0.000000,0.240435
0.020000,3.705458,0.426912,3.760000,8.000000,0.000000,0.000000,0.254769
0.020000,3.859993,0.468368,3.920000,8.000000,0.000000,0.000000,0.269473
0.020000,4.013893,0.512120,4.080000,8.000000,0.000000,0.000000,0.284554
0.020000,4.167106,0.558217,4.240000,8.000000,0.000000,0.000000,0.300019
0.020000,4.319580,0.606708,4.400000,8.000000,0.000000,0.000000,0.315871
0.020000,4.471255,0.657639,4.560000,8.000000,0.000000,0.000000,0.332115
0.020000,4.622073,0.711057,4.720000,8.000000,0.000000,0.000000,0.348754
0.020000,4.771968,0.767006,4.880000,8.000000,0.000000,0.000000,0.365790
0.020000,4.920879,0.825531,5.040000,8.000000,0.000000,0.000000,0.383223
0.020000,5.068734,0.886671,5.200000,8.000000,0.000000,0.000000,0.401053
0.020000,5.215463,0.950467,5.360000,8.000000,0.000000,0.000000,0.419277
0.020000,5.360991,1.016955,5.520000,8.000000,0.000000,0.000000,0.437892
0.020000,5.505245,1.086168,5.680000,8.000000,0.000000,0.000000,0.456890
0.020000,5.648142,1.158135,5.840000,8.000000,0.000000,0.000000,0.476265
0.020000,5.789605,1.232884,6.000000,8.000000,0.000000,0.000000,0.496006
0.020000,5.929551,1.310435,6.160000,8.000000,0.000000,0.000000,0.516101
0.020000,6.067897,1.390806,6.320000,8.000000,0.000000,0.000000,0.536537
0.020000,6.204558,1.474010,6.480000,8.000000,0.000000,0.000000,0.557295
0.020000,6.339449,1.560053,6.640000,8.000000,0.000000,0.000000,0.578358
0.020000,6.472485,1.648937,6.800000,8.000000,0.000000,0.000000,0.599705
0.020000,6.603581,1.740658,6.960000,8.000000,0.000000,0.000000,0.621311
0.020000,6.732654,1.835206,7.120000,8.000000,0.000000,0.000000,0.643151
0.020000,6.859621,1.932562,7.280000,8.000000,0.000000,0.000000,0.665199
0.020000,6.984402,2.032706,7.440000,8.000000,0.000000,0.000000,0.687424
0.020000,7.106918,2.135607,7.600000,8.000000,0.000000,0.000000,0.709795
0.020000,7.227096,2.241230,7.760000,8.000000,0.000000,0.000000,0.732281
0.020000,7.344864,2.349533,7.920000,8.000000,0.000000,0.000000,0.754847
0.020000,7.460155,2.460470,8.080000,8.000000,0.000000,0.000000,0.777461
0.020000,7.572907,2.573985,8.240000,8.000000,0.000000,0.000000,0.800086
0.020000,7.683063,2.690022,8.400000,8.000000,0.000000,0.000000,0.822689
0.020000,7.790571,2.808516,8.560000,8.000000,0.000000,0.000000,0.845235
0.020000,7.895386,2.929399,8.720000,8.000000,0.000000,0.000000,0.867690
0.020000,7.997467,3.052599,8.880000,8.000000,0.000000,0.000000,0.890021
0.020000,8.096782,3.178041,9.040000,8.000000,0.000000,0.000000,0.912196
0.020000,8.193303,3.305645,9.200000,8.000000,0.000000,0.000000,0.934185
0.020000,8.287008,3.435330,9.360000,8.000000,0.000000,0.000000,0.955959
0.020000,8.377883,3.567014,9.520000,8.000000,0.000000,0.000000,0.977490
0.020000,8.465919,3.700612,9.680000,8.000000,0.000000,0.000000,0.998754
0.020000,8.551115,3.836040,9.840000,8.000000,0.000000,0.000000,1.019728
0.020000,8.633472,3.973213,10.000000,8.000000,0.000000,0.000000,1.040392
0.020000,8.713001,4.112045,10.160000,8.000000,0.000000,0.000000,1.060728
0.020000,8.789714,4.252453,10.320000,8.000000,0.000000,0.000000,1.080719
0.020000,8.863630,4.394353,10.480000,8.000000,0.000000,0.000000,1.100352
0.020000,8.934772,4.537663,10.640000,8.000000,0.000000,0.000000,1.119615
0.020000,9.003169,4.682304,10.800000,8.000000,0.000000,0.000000,1.138500
0.020000,9.068850,4.828199,10.960000,8.000000,0.000000,0.000000,1.156998
0.020000,9.131849,4.975271,11.120000,8.000000,0.000000,0.000000,1.175105
0.020000,9.192205,5.123449,11.280000,8.000000,0.000000,0.000000,1.192817
0.020000,9.249957,5.272660,11.440000,8.000000,0.000000,0.000000,1.210131
0.020000,9.305146,5.422838,11.600000,8.000000,0.000000,0.000000,1.227049
0.020000,9.357817,5.573918,11.760000,8.000000,0.000000,0.000000,1.243570
0.020000,9.408015,5.725838,11.920000,8.000000,0.000000,0.000000,1.259697
0.020000,9.455787,5.878538,12.080000,8.000000,0.000000,0.000000,1.275433
0.020000,9.501179,6.031962,12.240000,8.000000,0.000000,0.000000,1.290782
0.020000,9.544241,6.186057,12.400000,8.000000,0.000000,0.000000,1.305750
0.020000,9.585021,6.340771,12.560000,8.000000,0.000000,0.000000,1.320343
0.020000,9.623567,6.496059,12.720000,8.000000,0.000000,0.000000,1.334567
0.020000,9.659929,6.651869,12.880000,8.000000,0.000000,0.000000,1.348429
0.020000,9.694156,6.808165,13.040000,8.000000,0.000000,0.000000,1.361937
0.020000,9.726296,6.964901,13.200000,8.000000,0.000000,0.000000,1.375097
0.020000,9.756397,7.122045,13.360000,8.000000,0.000000,0.000000,1.387919
0.020000,9.784507,7.279554,13.520000,8.000000,0.000000,0.000000,1.400411
0.020000,9.810672,7.437398,13.680000,8.000000,0.000000,0.000000,1.412580
0.020000,9.834940,7.595546,13.840000,8.000000,0.000000,0.000000,1.424436
0.020000,9.857333,7.753800,13.999831,7.983064,-0.846803,-42.340166,1.435974
0.020000,9.877831,7.911565,14.158923,7.926128,-2.846803,-100.000000,1.447165
0.020000,9.896411,8.068018,14.316476,7.829192,-4.846803,-100.000000,1.457966
0.020000,9.913083,8.222334,14.471690,7.692256,-6.846803,-100.000000,1.468342
0.020000,9.927884,8.373688,14.623766,7.515320,-8.846803,-100.000000,1.478259
0.020000,9.940874,8.521254,14.771903,7.298384,-10.846803,-100.000000,1.487689
