dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000673,-0.687500,0.000400,0.040000,2.000000,100.000000,6.282206
0.020000,-0.000618,-0.687500,0.000455,0.002745,-1.862758,-193.137913,6.282286
0.020000,-0.000495,-0.687500,0.000578,0.006177,0.171632,101.719537,6.282466
0.020000,-0.000275,-0.687500,0.000798,0.010988,0.240510,3.443883,6.282785
0.020000,0.002070,-0.687500,0.003143,0.117229,5.312069,253.577923,0.000100
0.020000,0.016966,-0.687493,0.018039,0.744814,31.379233,1303.358234,0.000821
0.020000,0.037242,-0.687466,0.038316,1.013826,13.450617,-896.430795,0.001805
0.020000,0.063728,-0.687402,0.064801,1.324281,15.522766,103.607446,0.003094
0.020000,0.097256,-0.687270,0.098329,1.676408,17.606329,104.178143,0.004733
0.020000,0.138654,-0.687032,0.139728,2.069936,19.676400,103.503551,0.006768
0.020000,0.188341,-0.686635,0.189417,2.484445,20.725461,52.453031,0.009226
0.020000,0.246324,-0.686016,0.247403,2.899297,20.742611,0.857531,0.012116
0.020000,0.312611,-0.685103,0.313696,3.314648,20.767534,1.246148,0.015449
0.020000,0.387204,-0.683809,0.388300,3.730208,20.777992,0.522893,0.019238
0.020000,0.470112,-0.682038,0.471227,4.146364,20.807785,1.489616,0.023497
0.020000,0.561346,-0.679678,0.562492,4.563234,20.843499,1.785731,0.028243
0.020000,0.660908,-0.676604,0.662102,4.980491,20.862846,0.967360,0.033494
0.020000,0.768808,-0.672677,0.770073,5.398537,20.902325,1.973910,0.039271
0.020000,0.885053,-0.667743,0.886423,5.817509,20.948599,2.313739,0.045597
0.020000,1.009647,-0.661628,1.011166,6.237181,20.983605,1.750277,0.052500
0.020000,1.142183,-0.654168,1.143913,6.637308,20.006353,-48.862571,0.059984
0.020000,1.281828,-0.645219,1.283844,6.996560,17.962591,-102.188135,0.068030
0.020000,1.427752,-0.634649,1.430150,7.315312,15.937621,-101.248472,0.076621
0.020000,1.579117,-0.622337,1.582015,7.593235,13.896151,-102.073539,0.085736
0.020000,1.735085,-0.608179,1.738625,7.830500,11.863229,-101.646066,0.095350
0.020000,1.894812,-0.592093,1.899160,8.026744,9.812182,-102.552343,0.105438
0.020000,2.057451,-0.574017,2.062800,8.182006,7.763132,-102.452517,0.115970
0.020000,2.222151,-0.553921,2.228721,8.296048,5.702096,-103.051818,0.126912
0.020000,2.388059,-0.531801,2.396097,8.368838,3.639475,-103.131029,0.138226
0.020000,2.554322,-0.507688,2.564100,8.400117,1.563954,-103.776030,0.149866
0.020000,2.720498,-0.481584,2.732314,8.410703,0.529321,-51.731668,0.161815
0.020000,2.886560,-0.453433,2.900745,8.421550,0.542351,0.651483,0.174079
0.020000,3.052478,-0.423182,3.069398,8.432642,0.554574,0.611144,0.186668
0.020000,3.218222,-0.390772,3.238281,8.444167,0.576271,1.084853,0.199591
0.020000,3.383757,-0.356148,3.407398,8.455867,0.584999,0.436401,0.212854
0.020000,3.549046,-0.319250,3.576755,8.467855,0.599378,0.718971,0.226466
0.020000,3.714048,-0.280020,3.746357,8.480075,0.611033,0.582725,0.240435
0.020000,3.878723,-0.238397,3.916211,8.492686,0.630529,0.974841,0.254769
0.020000,4.043021,-0.194322,4.086318,8.505379,0.634641,0.205556,0.269473
0.020000,4.206894,-0.147734,4.256685,8.518329,0.647501,0.643035,0.284554
0.020000,4.370289,-0.098573,4.427315,8.531495,0.658335,0.541682,0.300019
0.020000,4.533148,-0.046779,4.598211,8.544836,0.667037,0.435119,0.315871
0.020000,4.695410,0.007707,4.769378,8.558306,0.673508,0.323511,0.332115
0.020000,4.857010,0.064945,4.940815,8.571859,0.677649,0.207056,0.348754
0.020000,5.017878,0.124990,5.112524,8.585447,0.679368,0.085991,0.365790
0.020000,5.177944,0.187899,5.284508,8.599209,0.688129,0.438042,0.383223
0.020000,5.337126,0.253724,5.456763,8.612773,0.678162,-0.498370,0.401053
0.020000,5.495345,0.322516,5.629290,8.626338,0.678287,0.006256,0.419277
0.020000,5.652513,0.394322,5.802084,8.639704,0.668270,-0.500871,0.437892
0.020000,5.808542,0.469186,5.975144,8.652974,0.663534,-0.236783,0.456890
0.020000,5.963336,0.547145,6.148461,8.665858,0.644186,-0.967380,0.476265
0.020000,6.116798,0.628234,6.322029,8.678431,0.628642,-0.777224,0.496006
0.020000,6.268827,0.712482,6.495842,8.690607,0.608781,-0.993040,0.516101
0.020000,6.419321,0.799911,6.669888,8.702322,0.585771,-1.150510,0.536537
0.020000,6.568171,0.890537,6.844156,8.713420,0.554913,-1.542889,0.557295
0.020000,6.715270,0.984367,7.018634,8.723872,0.522606,-1.615335,0.578358
0.020000,6.860509,1.081405,7.193306,8.733618,0.487278,-1.766439,0.599705
0.020000,7.003776,1.181641,7.368157,8.742552,0.446724,-2.027671,0.621311
0.020000,7.144962,1.285061,7.543169,8.750597,0.402244,-2.223995,0.643151
0.020000,7.283957,1.391641,7.718323,8.757694,0.354853,-2.369555,0.665199
0.020000,7.420654,1.501348,7.893599,8.763784,0.304489,-2.518193,0.687424
0.020000,7.554947,1.614141,8.068975,8.768830,0.252271,-2.610932,0.709795
0.020000,7.686736,1.729969,8.244431,8.772762,0.196645,-2.781269,0.732281
0.020000,7.815923,1.848775,8.419941,8.775534,0.138561,-2.904238,0.754847
0.020000,7.942416,1.970490,8.595484,8.777141,0.080373,-2.909361,0.777461
0.020000,8.066130,2.095042,8.771035,8.777561,0.021017,-2.967802,0.800086
0.020000,8.186985,2.222349,8.946571,8.776786,-0.038759,-2.988818,0.822689
0.020000,8.304909,2.352322,9.122068,8.774836,-0.097536,-2.938820,0.845235
0.020000,8.419837,2.484869,9.297502,8.771696,-0.156972,-2.971841,0.867690
0.020000,8.531713,2.619890,9.472850,8.767435,-0.213032,-2.802965,0.890021
0.020000,8.640491,2.757284,9.648092,8.762087,-0.267403,-2.718570,0.912196
0.020000,8.746132,2.896944,9.823206,8.755694,-0.319688,-2.614225,0.934185
0.020000,8.848604,3.038762,9.998172,8.748278,-0.370800,-2.555608,0.955959
0.020000,8.947887,3.182629,10.172971,8.739951,-0.416317,-2.275880,0.977490
0.020000,9.043967,3.328434,10.347586,8.730780,-0.458550,-2.111616,0.998754
0.020000,9.136841,3.476067,10.522003,8.720826,-0.497702,-1.957604,1.019728
0.020000,9.226512,3.625419,10.696206,8.710167,-0.532947,-1.762284,1.040392
0.020000,9.312990,3.776382,10.870184,8.698885,-0.564113,-1.558263,1.060728
0.020000,9.396293,3.928850,11.043925,8.687064,-0.591071,-1.347913,1.080719
0.020000,9.476445,4.082721,11.217420,8.674741,-0.616136,-1.253254,1.100352
0.020000,9.553476,4.237893,11.390660,8.662005,-0.636804,-1.033389,1.119615
0.020000,9.627423,4.394271,11.563641,8.649030,-0.648733,-0.596442,1.138500
0.020000,9.698325,4.551762,11.736356,8.635773,-0.662875,-0.707145,1.156998
0.020000,9.766226,4.710277,11.908801,8.622270,-0.675115,-0.611968,1.175105
0.020000,9.831176,4.869731,12.080976,8.608742,-0.676441,-0.066332,1.192817
0.020000,9.893225,5.030044,12.252878,8.595101,-0.682032,-0.279505,1.210131
0.020000,9.952426,5.191138,12.424506,8.581389,-0.685603,-0.178562,1.227049
0.020000,10.008837,5.352943,12.595862,8.567807,-0.679080,0.326139,1.243570
0.020000,10.062514,5.515390,12.766948,8.554275,-0.676623,0.122827,1.259697
0.020000,10.113516,5.678415,12.937765,8.540839,-0.671773,0.242528,1.275433
0.020000,10.161902,5.841958,13.108315,8.527547,-0.664622,0.357543,1.290782
0.020000,10.207734,6.005964,13.278604,8.514442,-0.655269,0.467648,1.305750
0.020000,10.251071,6.170379,13.448636,8.501565,-0.643816,0.572656,1.320343
0.020000,10.291974,6.335157,13.618414,8.488943,-0.631099,0.635832,1.334567
0.020000,10.330502,6.500248,13.787941,8.476344,-0.629958,0.057071,1.348429
0.020000,10.366715,6.665616,13.957227,8.464306,-0.601918,1.402013,1.361937
0.020000,10.400673,6.831215,14.126273,8.452275,-0.601548,0.018489,1.375097
0.020000,10.432432,6.997016,14.295088,8.440768,-0.575364,1.309184,1.387919
0.020000,10.462051,7.162980,14.463674,8.429299,-0.573415,0.097447,1.400411
0.020000,10.489585,7.329078,14.632039,8.418233,-0.553322,1.004651,1.412580
0.020000,10.515089,7.495282,14.800189,8.407482,-0.537519,0.790164,1.424436
0.020000,10.538594,7.661390,14.967951,8.388115,-0.968375,-21.542803,1.435974
0.020000,10.560083,7.826784,15.134736,8.339236,-2.443954,-73.778957,1.447165
0.020000,10.579540,7.990612,15.299715,8.248957,-4.513950,-103.499815,1.457966
0.020000,10.596978,8.152020,15.462062,8.117340,-6.580815,-103.343205,1.468342
0.020000,10.612442,8.310159,15.620956,7.944703,-8.631883,-102.553408,1.478259
0.020000,10.626001,8.464183,15.775575,7.730980,-10.686128,-102.712259,1.487689
0.020000,10.637746,8.613250,15.925104,7.476442,-12.726933,-102.040231,1.496608
0.020000,10.647789,8.756522,16.068728,7.181180,-14.763056,-101.806197,1.504993
0.020000,10.656255,8.893164,16.205632,6.845207,-16.798671,-101.780737,1.512823
0.020000,10.663280,9.022344,16.335002,6.468535,-18.833596,-101.746216,1.520081
0.020000,10.669019,9.143412,16.456206,6.060181,-20.417733,-79.206869,1.526758
